par_id,rmse,nse,r,bias,mae,nmae
p00001,4.77419010906794,0.434372435426059,0.851985861771447,2.82437768005151,3.22976922490811,0.430219274959474
p00002,6.15028538967463,0.0613110929967493,0.853772617835629,4.60507630833118,4.63183486139385,0.529143917245999
p00003,4.85757841314011,0.414440827922404,0.917073265838923,3.88885216631374,3.91478910628546,0.510194771664292
p00004,5.93148404338688,0.126912277573619,0.852535769798536,4.35561143546472,4.47741348550563,0.549902979148854
p00005,4.86307723595144,0.413114360975731,0.918387913518393,3.90190929863581,3.94706893769792,0.522528500207219
p00006,5.82098874126737,0.159138115319573,0.852843851013858,4.23312701693566,4.28212364428412,0.52154544025129
p00007,6.52519839950707,-0.05676762933872,0.835014778307434,4.85293966544912,4.99148449361873,0.600676035753649
p00008,4.36467525126832,0.527246208730631,0.939132454428112,3.60278795017998,3.62255348879728,0.497429804057829
p00009,5.332191981685,0.294524020645391,0.818300615892298,3.0435905607132,3.59508869838188,0.451772468117402
p00010,4.30761693028295,0.539525803566277,0.870173989521648,2.41114422623593,2.83760478831348,0.379711928502137
p00011,6.05374135057834,0.0905499077120079,0.865474443565829,4.66309814960844,4.69386725737322,0.570468291084382
p00012,4.02114588758212,0.59879130597633,0.930857450597023,3.10421786039788,3.16167823709827,0.454940503129202
p00013,4.34840951778192,0.530763244130825,0.869987161592378,2.48316690626451,2.92600621055163,0.391945504725969
p00014,5.21068942921055,0.326214708953049,0.919608216636876,4.32993782315087,4.34797243082312,0.564271295800261
p00015,4.41363745446069,0.516580170215167,0.927004726767349,3.49027764477925,3.57188024642712,0.481384411027632
p00016,5.41134891448799,0.273321647228742,0.866304584990385,3.88395175967189,4.00574595825237,0.495541537192902
p00017,4.25597267962207,0.550563500804877,0.967782059102432,3.83794701368684,3.84520752132712,0.530920616165143
p00018,3.69483230923921,0.661264946408676,0.931642007334655,2.68491481205289,2.7974563994192,0.40616544140171
p00019,4.89407431438825,0.405608941650537,0.875219694158554,3.34139166381346,3.543456137234,0.447340143910834
p00020,5.38862571325948,0.279411732842234,0.835947743374019,3.40285307237981,3.61495169144894,0.439573658836474
p00021,2.75621521776428,0.811480013170668,0.964363700393433,2.12322397567663,2.20271538179986,0.366826269889027
p00022,5.57585777352459,0.228466970299435,0.885586989524988,4.35339669759131,4.3795479676849,0.553418874519315
p00023,5.17549109855701,0.335379384803175,0.851508344010996,3.38142445815078,3.58878279267727,0.464154656066625
p00024,4.529337955626,0.490973808065128,0.908839763634142,3.40277668556118,3.46356058819458,0.473184423199744
p00025,5.72218118238907,0.187442023515131,0.865750669854628,4.26859672409461,4.3676681977605,0.544641752717463
p00026,3.5455977911627,0.68807541031951,0.942965844535968,2.71781448400074,2.80150665506602,0.424321935273366
p00027,2.65509151284568,0.825059591134291,0.950292775690371,1.67129208215603,1.9026054834452,0.333854409114292
p00028,5.2327913897241,0.320486653412,0.837060065060721,3.23665172244377,3.49338481562866,0.437387109764559
p00029,5.25890051175158,0.313688844615307,0.874327996597638,3.79278137681823,3.95627416630139,0.48797966887295
p00030,4.53386991916407,0.489954655916586,0.88062652344696,2.93880440638989,3.14024415035687,0.412251659687505
p00031,5.23863337860195,0.318968562952341,0.918608773370948,4.325910579888,4.33695989248935,0.529948021867411
p00032,4.59777606261142,0.475328239910483,0.859085135157975,2.65554735306191,3.07346817613997,0.405879250920071
p00033,3.68003713291873,0.663972301107387,0.94059223047646,2.83135088764751,2.91278214909221,0.434955049406982
p00034,3.38870395679174,0.715070159045426,0.959554867954885,2.80197127886389,2.85120386582092,0.444654355740961
p00035,5.08689682717203,0.357849231078012,0.888605055668426,3.77023997573991,3.83737527598565,0.485116326475418
p00036,6.61076682683505,-0.0843621609772773,0.870325496118095,5.3375723350071,5.34889195736025,0.61782559529598
p00037,6.16653538594676,0.0564756077645063,0.864262744445907,4.76872343411914,4.82718604717876,0.582892822577009
p00038,5.62995728593199,0.213532327188995,0.818562978983824,3.467943600733,3.72464994190374,0.450383307412291
p00039,5.28799175039542,0.306171373922333,0.84798178949694,3.46773621006551,3.66266149887816,0.456207336512989
p00040,5.23771383817864,0.319302414090567,0.923550749464453,4.40139634927826,4.42657006393101,0.574974217200123
p00041,5.22932132559134,0.321482062076944,0.845026940011193,3.33499317394492,3.56003941250128,0.44852999307769
p00042,3.26045720177451,0.736191881844554,0.930797916556195,2.09039873222071,2.28914038346102,0.351067876249498
p00043,3.30228973963915,0.729416676690283,0.952859606961667,2.57379130498588,2.66045652054762,0.411765391342866
p00044,5.24166872827891,0.318179132855367,0.904826485076851,4.17895403077318,4.1970824299674,0.516212078216082
p00045,4.56507594353915,0.482837338556569,0.939405562508815,3.845145870163,3.86624754755776,0.526202345613844
p00046,4.17761886201638,0.566899406439002,0.951865647413693,3.56164911252486,3.57320071089862,0.480621235908698
p00047,3.70228246320368,0.659850177982763,0.914369407281893,2.40358800373719,2.6234662617901,0.383913999161378
p00048,6.98677169734367,-0.211222084308488,0.832539013429462,5.36980977892776,5.40086442650247,0.634294444765977
p00049,4.09870069400534,0.583049527619417,0.910339544401781,2.87682688513385,3.0125800369537,0.424002033314716
p00050,4.07633910288257,0.58758969497647,0.899552239099524,2.66110300222908,2.85669395959469,0.398525937518906
p00051,4.82756326744536,0.421654851913674,0.851242618984879,2.85892724967772,3.17992045049176,0.407440809374853
p00052,5.85735729491683,0.148716708919135,0.88708101875768,4.68163847395732,4.69814489916574,0.587021741905442
p00053,5.14872438557029,0.34214461043055,0.861336614969216,3.4952531139875,3.71530328629115,0.476933403893458
p00054,4.55530675684571,0.485048409206082,0.918281891315351,3.55219117560694,3.60467016688713,0.489597095403623
p00055,6.67697214752188,-0.106190196803122,0.83647660552275,5.05591481180063,5.08885848754003,0.603407692030667
p00056,4.89090641916654,0.406460833223403,0.961257644986066,4.44284558308262,4.44923016253139,0.563903668897489
p00057,5.61088357277352,0.218743466256227,0.869961867161257,4.18411867307854,4.29620822384965,0.539967801442396
p00058,6.10600062252377,0.0749091942405332,0.841603377291333,4.41451078301225,4.56746833604705,0.54854529451513
p00059,4.2813947984444,0.545178244277505,0.914713817066918,3.18454647762958,3.26452009268591,0.457548335331961
p00060,5.07632696597619,0.360604094907026,0.952623823033974,4.52757935671285,4.53368324122784,0.553543861993425
p00061,4.89086406743765,0.406388462410218,0.93413342741624,4.13645265072868,4.14590923525546,0.543065861643962
p00062,4.04746315305184,0.593465922676106,0.96128922468501,3.53455024436343,3.54992468877042,0.498495275456084
p00063,5.79517513766676,0.166579307401546,0.875681067226715,4.48829212109753,4.52353691310935,0.563544253550736
p00064,4.50974257139616,0.495298434350339,0.903177000830675,3.25668457537615,3.36917956117154,0.436773654105343
