Time,FLOW,TEMP,SALT
1995-04-18 00:00:00,11.529014,4.6187933,10
1995-04-19 00:00:00,11.652567,4.7722236,10
1995-04-20 00:00:00,11.93015,5.0360734,10
1995-04-21 00:00:00,12.312738,5.1107395,10
1995-04-22 00:00:00,12.238265,5.2820239,10
1995-04-23 00:00:00,12.123136,5.5608436,10
1995-04-24 00:00:00,12.115409,5.8689365,10
1995-04-25 00:00:00,12.050383,5.9584626,10
1995-04-26 00:00:00,12.937397,6.1631719,10
1995-04-27 00:00:00,13.692827,6.2957422,10
1995-04-28 00:00:00,13.580338,6.1928139,10
1995-04-29 00:00:00,13.535607,6.5595946,10
1995-04-30 00:00:00,13.384758,6.6734244,10
1995-05-01 00:00:00,13.262476,6.9596367,0.1
1995-05-02 00:00:00,13.056029,7.099044,0.1
1995-05-03 00:00:00,12.780725,7.3565358,0.1
1995-05-04 00:00:00,12.550214,7.8170117,0.1
1995-05-05 00:00:00,12.168914,8.1372464,0.1
1995-05-06 00:00:00,11.743459,8.3626801,0.1
1995-05-07 00:00:00,11.530192,8.9554132,0.1
1995-05-08 00:00:00,12.835648,9.3147529,0.1
1995-05-09 00:00:00,13.982372,8.5672592,0.1
1995-05-10 00:00:00,14.816457,8.7281138,0.1
1995-05-11 00:00:00,14.736399,8.8419673,0.1
1995-05-12 00:00:00,14.553882,9.3784002,0.1
1995-05-13 00:00:00,15.027377,10.098629,0.1
1995-05-14 00:00:00,14.896195,9.9903431,0.1
1995-05-15 00:00:00,14.517536,10.367775,0.1
1995-05-16 00:00:00,14.123875,11.030919,0.1
1995-05-17 00:00:00,13.983381,11.758002,0.1
1995-05-18 00:00:00,13.740854,12.062395,0.1
1995-05-19 00:00:00,13.323414,12.227033,0.1
1995-05-20 00:00:00,12.929263,12.636967,0.1
1995-05-21 00:00:00,12.5461,12.720075,0.1
1995-05-22 00:00:00,12.295501,12.842222,0.1
1995-05-23 00:00:00,12.659411,13.166957,0.1
1995-05-24 00:00:00,12.506573,13.237642,0.1
1995-05-25 00:00:00,12.132331,13.433587,0.1
1995-05-26 00:00:00,12.369441,13.905697,0.1
1995-05-27 00:00:00,13.210215,14.000489,0.1
1995-05-28 00:00:00,14.033792,13.215564,0.1
1995-05-29 00:00:00,13.924053,13.487635,0.1
1995-05-30 00:00:00,13.55575,13.712101,0.1
1995-05-31 00:00:00,13.16585,14.488084,0.1
1995-06-01 00:00:00,12.986838,15.241176,0.1
1995-06-02 00:00:00,12.909928,15.669579,0.1
1995-06-03 00:00:00,12.536147,16.199091,0.1
1995-06-04 00:00:00,12.080572,16.784545,0.1
1995-06-05 00:00:00,11.774521,18.190037,0.1
1995-06-06 00:00:00,11.705717,18.926807,0.1
1995-06-07 00:00:00,11.795203,19.118511,0.1
1995-06-08 00:00:00,11.702919,19.650863,0.1
1995-06-09 00:00:00,11.440516,17.781568,0.1
1995-06-10 00:00:00,11.050309,17.781352,0.1
1995-06-11 00:00:00,10.641185,17.862069,0.1
1995-06-12 00:00:00,10.22396,18.001226,0.1
1995-06-13 00:00:00,9.7728,18.131884,0.1
1995-06-14 00:00:00,9.319433,18.555846,0.1
1995-06-15 00:00:00,8.888273,18.877264,0.1
1995-06-16 00:00:00,8.478853,19.799903,0.1
1995-06-17 00:00:00,8.125267,20.209535,0.1
1995-06-18 00:00:00,7.726003,20.910489,0.1
1995-06-19 00:00:00,7.297364,21.925281,0.1
1995-06-20 00:00:00,6.877254,22.486722,0.1
1995-06-21 00:00:00,6.491176,22.965272,0.1
1995-06-22 00:00:00,6.122048,24.273802,0.1
1995-06-23 00:00:00,5.775494,24.70797,0.1
1995-06-24 00:00:00,5.447643,24.944511,0.1
1995-06-25 00:00:00,5.219162,25.259141,0.1
1995-06-26 00:00:00,5.636228,26.090533,0.1
1995-06-27 00:00:00,5.5614,25.540525,0.1
1995-06-28 00:00:00,5.357075,25.363609,0.1
1995-06-29 00:00:00,5.268602,25.199815,0.1
1995-06-30 00:00:00,5.008567,25.147053,0.1
1995-07-01 00:00:00,4.744987,23.593155,0.1
1995-07-02 00:00:00,4.450741,22.541063,0.1
1995-07-03 00:00:00,4.232165,22.024868,0.1
1995-07-04 00:00:00,4.892497,20.948744,0.1
1995-07-05 00:00:00,5.268065,20.842262,0.1
1995-07-06 00:00:00,5.184709,21.133757,0.1
1995-07-07 00:00:00,5.021116,20.662114,0.1
1995-07-08 00:00:00,4.992618,20.496411,0.1
1995-07-09 00:00:00,4.971378,20.543512,0.1
1995-07-10 00:00:00,4.678638,20.94133,0.1
1995-07-11 00:00:00,4.382008,21.614382,0.1
1995-07-12 00:00:00,4.09059,22.345465,0.1
1995-07-13 00:00:00,3.816451,23.147624,0.1
1995-07-14 00:00:00,3.53083,24.397512,0.1
1995-07-15 00:00:00,3.492146,25.366028,0.1
1995-07-16 00:00:00,3.627431,25.832525,0.1
1995-07-17 00:00:00,3.380966,26.430611,0.1
1995-07-18 00:00:00,3.334296,25.733592,0.1
1995-07-19 00:00:00,3.299791,24.532671,0.1
1995-07-20 00:00:00,3.207871,24.416986,0.1
1995-07-21 00:00:00,2.961127,24.443577,0.1
1995-07-22 00:00:00,3.327831,24.838326,0.1
1995-07-23 00:00:00,3.331098,24.762671,0.1
1995-07-24 00:00:00,3.192311,24.845418,0.1
1995-07-25 00:00:00,3.02803,25.215949,0.1
1995-07-26 00:00:00,3.102136,25.592501,0.1
1995-07-27 00:00:00,3.124426,25.684544,0.1
1995-07-28 00:00:00,3.021453,25.508659,0.1
1995-07-29 00:00:00,2.780488,25.715227,0.1
1995-07-30 00:00:00,2.592211,25.552247,0.1
1995-07-31 00:00:00,2.521516,25.873048,0.1
1995-08-01 00:00:00,2.648864,26.188006,0.1
1995-08-02 00:00:00,2.637955,25.728477,0.1
1995-08-03 00:00:00,2.750792,25.360663,0.1
1995-08-04 00:00:00,2.687572,25.373191,0.1
1995-08-05 00:00:00,2.571558,25.422098,0.1
1995-08-06 00:00:00,2.467861,25.670806,0.1
1995-08-07 00:00:00,2.413147,26.135338,0.1
1995-08-08 00:00:00,2.336526,25.998008,0.1
1995-08-09 00:00:00,2.303519,25.583451,0.1
1995-08-10 00:00:00,2.161283,25.71752,0.1
1995-08-11 00:00:00,1.996894,26.044153,0.1
1995-08-12 00:00:00,1.842392,26.188924,0.1
1995-08-13 00:00:00,1.680368,26.786186,0.1
1995-08-14 00:00:00,1.561406,27.104666,0.1
1995-08-15 00:00:00,1.897147,27.422609,0.1
1995-08-16 00:00:00,2.363417,26.834389,0.1
1995-08-17 00:00:00,2.480402,26.493066,0.1
1995-08-18 00:00:00,2.434499,26.485268,0.1
1995-08-19 00:00:00,2.618419,26.680422,0.1
1995-08-20 00:00:00,2.636011,26.642892,0.1
1995-08-21 00:00:00,2.533543,26.224143,0.1
1995-08-22 00:00:00,2.429163,25.834564,0.1
1995-08-23 00:00:00,2.325892,25.729479,0.1
1995-08-24 00:00:00,2.295148,25.646562,0.1
1995-08-25 00:00:00,2.235895,25.188285,0.1
1995-08-26 00:00:00,2.118782,24.864325,0.1
1995-08-27 00:00:00,2.084008,24.894876,0.1
1995-08-28 00:00:00,2.558285,25.287886,0.1
1995-08-29 00:00:00,2.692455,25.509642,0.1
1995-08-30 00:00:00,2.590774,25.663919,0.1
1995-08-31 00:00:00,2.487809,25.507902,0.1
1995-09-01 00:00:00,2.371838,25.064942,0.1
1995-09-02 00:00:00,2.256251,24.473358,0.1
1995-09-03 00:00:00,2.201601,23.977081,0.1
1995-09-04 00:00:00,2.083436,23.740992,0.1
1995-09-05 00:00:00,2.007009,23.707661,0.1
1995-09-06 00:00:00,1.992038,23.812821,0.1
1995-09-07 00:00:00,2.257572,23.680142,0.1
1995-09-08 00:00:00,2.121126,22.693696,0.1
1995-09-09 00:00:00,2.02511,21.852765,0.1
1995-09-10 00:00:00,1.954938,21.403398,0.1
1995-09-11 00:00:00,1.850677,21.10312,0.1
1995-09-12 00:00:00,1.856541,20.777091,0.1
1995-09-13 00:00:00,1.690607,20.416117,0.1
1995-09-14 00:00:00,1.575425,20.440522,0.1
1995-09-15 00:00:00,1.493256,20.041728,0.1
1995-09-16 00:00:00,1.613781,19.710629,0.1
1995-09-17 00:00:00,1.531991,19.689405,0.1
1995-09-18 00:00:00,1.502616,19.338916,0.1
1995-09-19 00:00:00,2.054201,19.015144,0.1
1995-09-20 00:00:00,2.201249,18.629677,0.1
1995-09-21 00:00:00,2.227065,18.224267,0.1
1995-09-22 00:00:00,2.129421,17.862272,0.1
1995-09-23 00:00:00,2.042857,16.826641,0.1
1995-09-24 00:00:00,1.982163,16.581406,0.1
1995-09-25 00:00:00,1.920497,16.282404,0.1
1995-09-26 00:00:00,1.818358,16.284863,0.1
1995-09-27 00:00:00,1.687416,16.19327,0.1
1995-09-28 00:00:00,1.562931,16.284648,0.1
1995-09-29 00:00:00,1.53928,16.272881,0.1
1995-09-30 00:00:00,1.68429,16.15527,0.1
1995-10-01 00:00:00,1.777146,16.384886,0.1
1995-10-02 00:00:00,1.715906,16.386582,0.1
1995-10-03 00:00:00,1.699939,16.359359,0.1
1995-10-04 00:00:00,1.624644,16.420465,0.1
1995-10-05 00:00:00,2.08921,16.287454,0.1
1995-10-06 00:00:00,3.400363,15.86576,0.1
1995-10-07 00:00:00,3.564921,15.678905,0.1
1995-10-08 00:00:00,3.618448,15.453737,0.1
1995-10-09 00:00:00,3.641973,15.365112,0.1
1995-10-10 00:00:00,3.576162,15.340848,0.1
1995-10-11 00:00:00,3.504981,15.229792,0.1
1995-10-12 00:00:00,3.402546,15.218058,0.1
1995-10-13 00:00:00,3.315853,15.336798,0.1
1995-10-14 00:00:00,3.345814,15.35431,0.1
1995-10-15 00:00:00,3.285087,14.808306,0.1
1995-10-16 00:00:00,3.231045,14.273077,0.1
1995-10-17 00:00:00,3.144837,13.887041,0.1
1995-10-18 00:00:00,3.104061,13.68138,0.1
1995-10-19 00:00:00,3.292298,13.600095,0.1
1995-10-20 00:00:00,3.489864,13.627016,0.1
1995-10-21 00:00:00,3.539058,13.279042,0.1
1995-10-22 00:00:00,3.612251,12.720277,0.1
1995-10-23 00:00:00,3.83361,12.429302,0.1
1995-10-24 00:00:00,3.897137,12.323408,0.1
1995-10-25 00:00:00,3.818461,11.91449,0.1
1995-10-26 00:00:00,3.885283,11.590354,0.1
1995-10-27 00:00:00,4.836996,11.495528,0.1
1995-10-28 00:00:00,5.083541,11.418594,0.1
