"Organization","Station.ID","Sample.Date","Sample.Depth","Sodium","Chloride","Sulfate","Y","Z"
"City Annual Avg","CityofMadison",1940-07-01,NA,NA,8,NA,1940.49795081967,-2.1308201724789
"City Annual Avg","CityofMadison",1941-07-01,NA,NA,6,NA,1941.49657534247,-2.23259453836968
"City Annual Avg","CityofMadison",1942-07-01,NA,NA,6,NA,1942.49646118721,-2.23259453836968
"City Annual Avg","CityofMadison",1943-07-01,NA,NA,8,NA,1943.49646118721,-2.1308201724789
"City Annual Avg","CityofMadison",1944-07-01,NA,NA,8,NA,1944.49783697632,-2.1308201724789
"City Annual Avg","CityofMadison",1945-07-01,NA,NA,10,NA,1945.49646118721,-2.02904580658813
"City Annual Avg","CityofMadison",1946-07-01,NA,NA,8,NA,1946.49646118721,-2.1308201724789
"City Annual Avg","CityofMadison",1947-07-01,NA,NA,12,NA,1947.49646118721,-1.92727144069736
"City Annual Avg","CityofMadison",1962-07-01,NA,NA,15,NA,1962.49657534247,-1.7746098918612
"City Annual Avg","CityofMadison",1963-07-01,NA,NA,15,NA,1963.49646118721,-1.7746098918612
"City Annual Avg","CityofMadison",1964-07-01,NA,NA,20,NA,1964.49795081967,-1.52017397713428
"City Annual Avg","CityofMadison",1965-07-01,NA,NA,21,NA,1965.49657534247,-1.46928679418889
"City Annual Avg","CityofMadison",1966-07-01,NA,NA,20,NA,1966.49646118721,-1.52017397713428
"City Annual Avg","CityofMadison",1967-07-01,NA,NA,21,NA,1967.49646118721,-1.46928679418889
"City Annual Avg","CityofMadison",1968-07-01,NA,NA,22,NA,1968.49783697632,-1.4183996112435
"City Annual Avg","CityofMadison",1969-07-01,NA,NA,22,NA,1969.49646118721,-1.4183996112435
"City Annual Avg","CityofMadison",1970-07-01,NA,NA,23,NA,1970.49646118721,-1.36751242829812
"City Annual Avg","CityofMadison",1971-07-01,NA,NA,26,NA,1971.49646118721,-1.21485087946196
"City Annual Avg","CityofMadison",1972-07-01,NA,NA,29,NA,1972.49783697632,-1.06218933062581
"City Annual Avg","CityofMadison",1973-07-01,NA,NA,25,NA,1973.49646118721,-1.26573806240735
"Richard C. Lathrop","WI_DNR",1975-07-01,NA,NA,22,NA,1975.49646118721,-1.4183996112435
"Richard C. Lathrop","WI_DNR",1976-07-01,NA,NA,20,NA,1976.49783697632,-1.52017397713428
"Richard C. Lathrop","WI_DNR",1977-07-01,NA,NA,24,NA,1977.49646118721,-1.31662524535273
"Richard C. Lathrop","WI_DNR",1978-07-01,NA,NA,24,NA,1978.49646118721,-1.31662524535273
"Richard C. Lathrop","WI_DNR",1979-07-01,NA,NA,23,NA,1979.49646118721,-1.36751242829812
"Richard C. Lathrop","WI_DNR",1980-07-01,NA,NA,24,NA,1980.49783697632,-1.31662524535273
"Richard C. Lathrop","WI_DNR",1982-07-01,NA,NA,25,NA,1982.49646118721,-1.26573806240735
"Richard C. Lathrop","WI_DNR",1983-07-01,NA,NA,26,NA,1983.49646118721,-1.21485087946196
"Richard C. Lathrop","WI_DNR",1984-07-01,NA,NA,28,NA,1984.49783697632,-1.11307651357119
"Richard C. Lathrop","WI_DNR",1985-07-01,NA,NA,28,NA,1985.49646118721,-1.11307651357119
"Richard C. Lathrop","WI_DNR",1986-07-01,NA,NA,29,NA,1986.49646118721,-1.06218933062581
"Richard C. Lathrop","WI_DNR",1987-07-01,NA,NA,29,NA,1987.49646118721,-1.06218933062581
"Wisconsin Department of Natural Resources","WIDNR_WQX-10001208",1988-08-01,0,16,34,24,1988.58253642987,-0.807753415898877
"Wisconsin Department of Natural Resources","WIDNR_WQX-10001208",1988-10-12,0,16,35,25.2,1988.77925774135,-0.756866232953491
"Wisconsin Department of Natural Resources","WIDNR_WQX-10001208",1989-01-23,1,18,36,24.7,1989.06095890411,-0.705979050008105
"Wisconsin Department of Natural Resources","WIDNR_WQX-10001208",1989-04-24,0,20,39,24.5,1989.31015981735,-0.553317501171948
"Wisconsin Department of Natural Resources","WIDNR_WQX-10001208",1989-07-17,NA,19,38,24.3,1989.54029680365,-0.604204684117334
"Wisconsin Department of Natural Resources","WIDNR_WQX-10001208",1989-07-17,NA,19,38,23.9,1989.54029680365,-0.604204684117334
"Wisconsin Department of Natural Resources","WIDNR_WQX-10001208",1989-07-17,NA,19,38,24.3,1989.54029680365,-0.604204684117334
