"Organization","Station.ID","Sample.Date","Sample.Depth","Sodium","Chloride","Sulfate","Y","Z"
"CityofMadison","CityofMadison",1940-01-31,NA,NA,6,NA,1940.08265027322,-1.78600515436945
"CityofMadison","CityofMadison",1940-03-11,NA,NA,3,NA,1940.19193989071,-2.00457259150649
"CityofMadison","CityofMadison",1940-05-28,NA,NA,1.28,NA,1940.40505464481,-2.12988458879839
"CityofMadison","CityofMadison",1940-06-25,NA,NA,2.93,NA,1940.48155737705,-2.00967249837302
"CityofMadison","CityofMadison",1940-07-30,NA,NA,3.17,NA,1940.57718579235,-1.99218710340206
"CityofMadison","CityofMadison",1940-08-27,NA,NA,2.23,NA,1940.65368852459,-2.06067156703833
"CityofMadison","CityofMadison",1940-09-11,NA,NA,0.81,NA,1940.69467213115,-2.16412682061653
"CityofMadison","CityofMadison",1940-10-30,NA,NA,2.88,NA,1940.82855191257,-2.01331528899197
"CityofMadison","CityofMadison",1941-03-07,NA,NA,1.8,NA,1941.17876712329,-2.09199956636131
"CityofMadison","CityofMadison",1941-05-19,NA,NA,1.35,NA,1941.37876712329,-2.12478468193186
"CityofMadison","CityofMadison",1941-06-17,NA,NA,11.9,NA,1941.45821917808,-1.35615586133328
"CityofMadison","CityofMadison",1941-07-08,NA,NA,5.73,NA,1941.51575342466,-1.80567622371179
"CityofMadison","CityofMadison",1941-07-29,NA,NA,1.14,NA,1941.57328767123,-2.14008440253146
"CityofMadison","CityofMadison",1941-08-20,NA,NA,3.18,NA,1941.63356164384,-1.99145854527827
"CityofMadison","CityofMadison",1941-09-10,NA,NA,1.04,NA,1941.69109589041,-2.14736998376936
"CityofMadison","CityofMadison",1941-10-02,NA,NA,3.18,NA,1941.75136986301,-1.99145854527827
"CityofMadison","CityofMadison",1942-02-02,NA,NA,3.75,NA,1942.08835616438,-1.94993073222223
"CityofMadison","CityofMadison",1942-04-28,NA,NA,1.59,NA,1942.32111872146,-2.1072992869609
"CityofMadison","CityofMadison",1942-06-17,NA,NA,2.61,NA,1942.45810502283,-2.03298635833431
"CityofMadison","CityofMadison",1942-07-17,NA,NA,2.12,NA,1942.54029680365,-2.06868570640002
"CityofMadison","CityofMadison",1942-08-10,NA,NA,1.25,NA,1942.60605022831,-2.13207026316977
"CityofMadison","CityofMadison",1942-09-15,NA,NA,1.63,NA,1942.7046803653,-2.10438505446574
"CityofMadison","CityofMadison",1942-10-01,NA,NA,2.5,NA,1942.74851598174,-2.041000497696
"CityofMadison","CityofMadison",1942-11-12,NA,NA,2.87,NA,1942.86358447489,-2.01404384711576
"CityofMadison","CityofMadison",1942-12-15,NA,NA,5,NA,1942.95399543379,-1.85886096674847
"CityofMadison","CityofMadison",1943-01-14,NA,NA,2.25,NA,1943.03618721461,-2.05921445079075
"CityofMadison","CityofMadison",1943-02-17,NA,NA,2.5,NA,1943.12933789954,-2.041000497696
"CityofMadison","CityofMadison",1943-04-14,NA,NA,2.87,NA,1943.28276255708,-2.01404384711576
"CityofMadison","CityofMadison",1943-05-25,NA,NA,3.13,NA,1943.3950913242,-1.99510133589722
"CityofMadison","CityofMadison",1943-06-15,NA,NA,1.62,NA,1943.45262557078,-2.10511361258953
"CityofMadison","CityofMadison",1943-07-19,NA,NA,3.75,NA,1943.54577625571,-1.94993073222223
"CityofMadison","CityofMadison",1943-08-16,NA,NA,1.5,NA,1943.62248858447,-2.11385631007501
"CityofMadison","CityofMadison",1943-09-27,NA,NA,2.5,NA,1943.73755707763,-2.041000497696
"CityofMadison","CityofMadison",1943-10-11,NA,NA,2.5,NA,1943.77591324201,-2.041000497696
"CityofMadison","CityofMadison",1943-11-01,NA,NA,1.63,NA,1943.83344748858,-2.10438505446574
"CityofMadison","CityofMadison",1943-12-15,NA,NA,2.75,NA,1943.95399543379,-2.02278654460125
