Time,FLOW,TEMP,SALT
1995-01-01 00:00:00,5.326274,0.48750001,0
1995-01-02 00:00:00,5.279789,0.42817786,0
1995-01-03 00:00:00,5.232633,0.44157109,0
1995-01-04 00:00:00,5.190151,0.58138913,0
1995-01-05 00:00:00,5.24443,0.66567614,0
1995-01-06 00:00:00,5.297507,0.74043796,0
1995-01-07 00:00:00,5.210604,0.74457873,0
1995-01-08 00:00:00,5.153491,0.78439384,0
1995-01-09 00:00:00,5.191968,0.83705499,0
1995-01-10 00:00:00,5.121855,0.85430741,0
1995-01-11 00:00:00,5.080963,0.84936231,0
1995-01-12 00:00:00,4.987766,0.84944751,0
1995-01-13 00:00:00,5.02067,0.86659076,0
1995-01-14 00:00:00,5.130408,0.8801579,0
1995-01-15 00:00:00,5.017816,0.88343108,0
1995-01-16 00:00:00,4.937935,0.89680375,0
1995-01-17 00:00:00,4.831148,0.90970119,0
1995-01-18 00:00:00,4.904465,0.91577617,0
1995-01-19 00:00:00,5.348336,0.95073197,0
1995-01-20 00:00:00,5.161512,0.94984547,0
1995-01-21 00:00:00,5.137636,0.95988462,0
1995-01-22 00:00:00,5.109813,0.95671112,0
1995-01-23 00:00:00,5.010224,0.95860525,0
1995-01-24 00:00:00,4.917166,0.9708145,0
1995-01-25 00:00:00,4.825883,0.99953777,0
1995-01-26 00:00:00,4.740954,1.0281581,0
1995-01-27 00:00:00,4.658599,1.0497782,0
1995-01-28 00:00:00,4.577803,1.068916,0
1995-01-29 00:00:00,4.507304,1.0895626,0
1995-01-30 00:00:00,4.433556,1.1026279,0
1995-01-31 00:00:00,4.359052,1.1295058,0
1995-02-01 00:00:00,4.283704,1.1367858,0
1995-02-02 00:00:00,4.216444,1.152332,0
1995-02-03 00:00:00,4.184206,1.1615612,0
1995-02-04 00:00:00,4.118518,1.1679998,0
1995-02-05 00:00:00,4.06557,1.1853285,0
1995-02-06 00:00:00,4.012139,1.2356502,0
1995-02-07 00:00:00,3.963927,1.2642768,0
1995-02-08 00:00:00,3.912586,1.2662088,0
1995-02-09 00:00:00,3.860977,1.3082242,0
1995-02-10 00:00:00,3.793336,1.2992404,0
1995-02-11 00:00:00,3.752937,1.3192847,0
1995-02-12 00:00:00,3.709586,1.3278602,0
1995-02-13 00:00:00,3.663314,1.3553692,0
1995-02-14 00:00:00,3.626003,1.355628,0
1995-02-15 00:00:00,3.587365,1.3612926,0
1995-02-16 00:00:00,3.536378,1.3767075,0
1995-02-17 00:00:00,3.478934,1.3914733,0
1995-02-18 00:00:00,3.348915,1.4143953,0
1995-02-19 00:00:00,3.375239,1.4284483,0
1995-02-20 00:00:00,3.265242,1.4566562,0
1995-02-21 00:00:00,3.469929,1.4740765,0
1995-02-22 00:00:00,3.395373,1.4925184,0
1995-02-23 00:00:00,3.43595,1.5133175,0
1995-02-24 00:00:00,3.696675,1.5309073,0
1995-02-25 00:00:00,3.822901,1.5532066,0
1995-02-26 00:00:00,3.887358,1.5543927,0
1995-02-27 00:00:00,3.937808,1.564387,0
1995-02-28 00:00:00,3.984619,1.578272,0
1995-03-01 00:00:00,4.009101,1.5834968,0
1995-03-02 00:00:00,4.021498,1.6026586,0
1995-03-03 00:00:00,4.012744,1.6262619,0
1995-03-04 00:00:00,4.149806,1.6457189,0
