"",-21.000,-20.500,-20.000,-19.500,-19.000,-18.500,-18.000,-17.500,-17.000,-16.500,-16.000,-15.500,-15.000,-14.500,-14.000,-13.500,-13.000,-12.500,-12.000,-11.500,-11.000,-10.500,-10.000,-9.500,-9.000,-8.500,-8.000,-7.500,-7.000,-6.500,-6.000,-5.500,-5.000,-4.500,-4.000,-3.500,-3.000,-2.500,-2.000,-1.500,-1.000,-0.500,0.000
0.0000,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006
1.0000,8.3537E-001,8.3630E-001,8.3745E-001,8.3945E-001,8.4095E-001,8.4793E-001,8.4743E-001,8.3200E-001,8.1620E-001,8.0090E-001,7.8516E-001,7.6277E-001,7.2050E-001,6.4696E-001,5.4191E-001,4.1161E-001,2.5528E-001,1.1614E-001,3.9806E-002,1.0275E-002,1.9830E-003,2.8501E-004,3.2508E-005,5.2806E-006,3.1316E-006,3.0058E-006,3.0002E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0001E-006,3.0004E-006,3.0007E-006,3.0008E-006,3.0015E-006,3.0027E-006
2.0000,1.0314E+000,9.5232E-001,1.0080E+000,1.0019E+000,9.0891E-001,9.3440E-001,9.5154E-001,9.4962E-001,9.4511E-001,9.3955E-001,9.3320E-001,9.2548E-001,9.1490E-001,8.9881E-001,8.7182E-001,8.1759E-001,7.1804E-001,5.6972E-001,3.9009E-001,2.1977E-001,9.8382E-002,3.4439E-002,9.3993E-003,2.0151E-003,3.4499E-004,5.0256E-005,8.4083E-006,3.5109E-006,3.0396E-006,3.0024E-006,3.0002E-006,3.0001E-006,3.0000E-006,3.0000E-006,3.0000E-006,3.0003E-006,3.0007E-006,3.0008E-006,3.0009E-006,3.0010E-006,3.0013E-006,3.0024E-006,3.0044E-006
3.0000,9.0615E-001,8.3002E-001,9.0149E-001,1.0928E+000,1.1442E+000,1.0798E+000,1.0360E+000,1.0261E+000,1.0266E+000,1.0260E+000,1.0225E+000,1.0169E+000,1.0092E+000,9.9815E-001,9.8187E-001,9.5796E-001,9.1996E-001,8.5470E-001,7.4316E-001,5.7772E-001,3.8439E-001,2.1186E-001,9.4848E-002,3.4234E-002,9.9872E-003,2.3946E-003,4.6892E-004,7.3494E-005,1.9893E-005,9.2334E-006,5.4282E-006,4.2037E-006,3.7704E-006,3.5641E-006,3.4373E-006,3.3470E-006,3.2768E-006,3.2181E-006,3.1645E-006,3.1143E-006,3.0750E-006,3.0485E-006,3.0259E-006
4.0000,1.1844E+000,1.1167E+000,1.0866E+000,1.0966E+000,1.1015E+000,1.0973E+000,1.1028E+000,1.1093E+000,1.1047E+000,1.0991E+000,1.0933E+000,1.0871E+000,1.0796E+000,1.0705E+000,1.0601E+000,1.0461E+000,1.0231E+000,9.8648E-001,9.2855E-001,8.3069E-001,6.7892E-001,4.8626E-001,2.9526E-001,1.4895E-001,6.2012E-002,2.1343E-002,5.9226E-003,1.4189E-003,5.0553E-004,2.0748E-004,6.2545E-005,1.7798E-005,1.0641E-005,9.0747E-006,8.7284E-006,8.6234E-006,8.5602E-006,8.5140E-006,8.4816E-006,8.4594E-006,8.4415E-006,8.3517E-006,8.1906E-006
5.0000,1.0064E+000,1.0052E+000,1.0835E+000,1.2095E+000,1.2411E+000,1.2070E+000,1.1819E+000,1.1732E+000,1.1697E+000,1.1664E+000,1.1630E+000,1.1591E+000,1.1530E+000,1.1440E+000,1.1316E+000,1.1157E+000,1.0947E+000,1.0678E+000,1.0315E+000,9.7446E-001,8.7884E-001,7.3059E-001,5.3905E-001,3.4225E-001,1.8383E-001,8.3105E-002,3.0894E-002,9.2398E-003,2.8188E-003,1.2532E-003,6.8381E-004,3.9642E-004,1.7441E-004,5.5966E-005,4.6900E-005,4.6331E-005,4.5833E-005,4.5039E-005,4.3601E-005,4.1942E-005,4.0610E-005,3.4203E-005,2.2503E-005
6.0000,1.2231E+000,1.2150E+000,1.2249E+000,1.2484E+000,1.2549E+000,1.2500E+000,1.2455E+000,1.2414E+000,1.2390E+000,1.2359E+000,1.2315E+000,1.2269E+000,1.2216E+000,1.2134E+000,1.2007E+000,1.1837E+000,1.1638E+000,1.1402E+000,1.1095E+000,1.0675E+000,1.0045E+000,9.0349E-001,7.5159E-001,5.5847E-001,3.6134E-001,2.0118E-001,9.4967E-002,3.7198E-002,1.2527E-002,3.6699E-003,8.2827E-004,3.7565E-004,2.9747E-004,2.8522E-004,2.8294E-004,2.8194E-004,2.8122E-004,2.8065E-004,2.8019E-004,2.7952E-004,2.7444E-004,1.9294E-004,3.9211E-005
7.0000,1.2469E+000,1.2188E+000,1.3570E+000,1.3839E+000,1.2774E+000,1.2954E+000,1.2973E+000,1.2993E+000,1.2970E+000,1.2944E+000,1.2915E+000,1.2874E+000,1.2820E+000,1.2741E+000,1.2632E+000,1.2489E+000,1.2303E+000,1.2068E+000,1.1779E+000,1.1418E+000,1.0935E+000,1.0216E+000,9.1002E-001,7.4922E-001,5.5369E-001,3.6032E-001,2.0332E-001,9.7354E-002,3.5315E-002,7.8990E-003,2.1239E-003,1.3961E-003,1.3164E-003,1.3038E-003,1.2979E-003,1.2941E-003,1.2916E-003,1.2897E-003,1.2867E-003,1.2754E-003,1.2401E-003,8.7047E-004,1.8369E-004
8.0000,1.3499E+000,1.3693E+000,1.3605E+000,1.3501E+000,1.3543E+000,1.3527E+000,1.3527E+000,1.3499E+000,1.3483E+000,1.3454E+000,1.3417E+000,1.3384E+000,1.3335E+000,1.3252E+000,1.3154E+000,1.3040E+000,1.2892E+000,1.2689E+000,1.2424E+000,1.2090E+000,1.1667E+000,1.1095E+000,1.0254E+000,8.9952E-001,7.2850E-001,5.3216E-001,3.4372E-001,1.9207E-001,8.7067E-002,2.8799E-002,7.7087E-003,3.1106E-003,2.4861E-003,2.3047E-003,2.1848E-003,2.0957E-003,2.0272E-003,1.9712E-003,1.9218E-003,1.8922E-003,1.8702E-003,1.3485E-003,3.3704E-004
