par_id,rmse,nse,r,bias,mae,nmae
p00001,3.16573036297177,0.730431467339095,0.885703488138577,-1.27762308544569,2.3550935202283,0.183267136583966
p00002,3.09938306838439,0.741612283542325,0.931483324360314,1.79720776901125,2.17923002182307,0.192418345425863
p00003,2.38869995888057,0.846522556821083,0.93215226312195,-0.849148165183817,1.63643122041296,0.13389062669283
p00004,2.64458687627127,0.811879108472808,0.941811245319431,1.38795425952661,1.89449937149572,0.17000502649731
p00005,3.74110957438,0.623537078239174,0.850929643338583,-1.73470032230989,2.86641420513681,0.218916987633811
p00006,2.22857682574991,0.866409193529458,0.934478367418966,0.139379655867047,1.6863048430418,0.145490135301437
p00007,2.00598914790723,0.891762311285834,0.947566292659551,-0.0944139684404902,1.38147080241732,0.128792648696484
p00008,2.66687624468944,0.808694666903806,0.923338415071126,-1.24022384253819,1.85056973812322,0.148155942146017
p00009,2.7619775954066,0.794807419070796,0.902797576730681,-0.598821089474568,2.13580919086789,0.17643121680973
p00010,3.52171348567211,0.666397426555676,0.897279213274899,-2.25228751888534,2.53404122041296,0.191704078938073
p00011,2.20011635129436,0.869799500950723,0.938084260682596,0.34512079234514,1.69437931844888,0.15033227017731
p00012,3.46689346151746,0.676702502330471,0.896723109962818,-2.1528772972973,2.49515082424039,0.18998571865422
p00013,3.07686722579331,0.74535282474404,0.888910533093577,-1.13831807117677,2.295032390465,0.180748881208314
p00014,2.21109017795114,0.86849742343743,0.942079152388709,0.642620124223602,1.74956831962397,0.156432846880701
p00015,2.67564786435213,0.807434153017246,0.920244755709184,-1.15406564210173,1.89540246936377,0.148493733882571
p00016,4.37636696367662,0.484832077526919,0.814233494019241,-2.27360954843042,3.4633634581165,0.261189911994694
p00017,3.37835611839765,0.693004361010783,0.873791994485062,-1.44822287225113,2.5419883045157,0.196319199969125
p00018,2.02378783704947,0.889833052966627,0.946885025464475,-0.0563498002350176,1.38811840188014,0.128167464858958
p00019,2.05516385648616,0.886390602033105,0.946228796869662,0.0814242655699177,1.4096793738459,0.1365717028618
p00020,2.24165009192672,0.864837256934828,0.948445272811139,0.905121129763304,1.61680996978345,0.145431565745562
p00021,2.33270349345412,0.853633923611276,0.929433124256043,0.260961537686755,1.81945406412624,0.159932184214704
p00022,3.22417898939693,0.720385532470708,0.92196485569377,1.73494982205808,2.17864594090985,0.19402654830543
p00023,4.31423285825824,0.499356576280817,0.812233027765014,-2.12305882323317,3.41283678529461,0.258412142828764
p00024,2.33823084346733,0.852939471855664,0.949108122514347,1.14196879133792,1.80897953164344,0.16306116348414
p00025,2.20093778616185,0.869702259552319,0.936161457721403,-0.246638754406581,1.60660222259527,0.137548391659549
p00026,2.61525461647786,0.816029026621821,0.944802877040684,1.4402047188182,1.93575340775558,0.171934129561352
p00027,2.6946383368231,0.804690971457968,0.939674684636068,1.3965961624979,1.89416821554474,0.170458916255677
p00028,2.19031898937582,0.870956513550225,0.945069361220893,0.580315749538358,1.50982800738627,0.139935738360898
p00029,3.40607721990118,0.687945585423737,0.900201375733562,-2.1154037082424,2.42303602988081,0.18436949781273
p00030,3.02321055136018,0.754156833706284,0.894565437342645,-1.17991948296122,2.24036459963069,0.176243529396955
p00031,3.96163770927444,0.577846042240097,0.834503950422386,-1.82322565217391,3.10157349840524,0.2375985693274
p00032,2.27494829955274,0.860791929462069,0.94210482849232,0.640744957193218,1.54159447204969,0.14400295284983
p00033,2.09802657679523,0.881602284674604,0.944176698747384,-0.47279994963908,1.43602062447541,0.128003290629699
p00034,4.07518908993297,0.553299044675259,0.825194761749395,-1.87049662917576,3.21685457109283,0.245780097917799
p00035,2.50166954670024,0.831662359703376,0.92908906349367,-1.0440562246097,1.71834344300823,0.13946254132882
p00036,3.92519710921626,0.585576578405694,0.868547703703055,-2.446471697163,2.90241930166191,0.212859352276219
p00037,3.78732451536452,0.61417853164896,0.841775404148346,-1.57417457612892,2.96422219405741,0.229982893277648
p00038,3.5214014850954,0.666456533910744,0.934673116901322,2.4840873560517,2.7228051603156,0.232627278948347
p00039,2.1006965183084,0.881300747866507,0.942921246036249,0.22238379217727,1.55810409770018,0.138213283545579
p00040,2.01368747159128,0.890929956205397,0.948261275750804,0.241219165687427,1.40316833808964,0.125695372417372
p00041,4.44541422900647,0.468447919964208,0.821866817327494,-2.57704134631526,3.45158762800067,0.255643706143231
p00042,4.30023724086273,0.502599539184312,0.840467197934109,-2.61848121369817,3.27836943931509,0.240567627811935
p00043,3.65327801069246,0.641006324898198,0.893493536813456,-2.40122495719322,2.65013564042303,0.200629481303925
p00044,2.67218484513834,0.807932296056097,0.939424980536162,1.35771213026691,1.87369661910358,0.16819313369629
p00045,2.23655018931531,0.865451565749623,0.944317419474037,0.668859684404902,1.53908233338929,0.142117605604971
