par_id,rmse,nse,r,bias,mae,nmae
p00927,4.7531682547689,0.392302111667266,0.908382791079884,-3.95594534710286,4.06787491392264,0.366318048048964
p00928,6.09093280445838,0.00209552970369742,0.844514677835967,-5.04697987817066,5.1792245625959,0.436508716439337
p00929,75.4652433074304,-152.184669739474,0.241272361856536,60.3221128079894,62.4701926174419,7.00488861104627
p00930,4.57064991062361,0.438076406937755,0.822790107191381,1.08613205232456,3.46973137704802,0.328363246592962
p00931,5.93853471852653,0.0514069223317954,0.855012035768308,-4.96427431987205,5.07191700939892,0.411560132554644
p00932,5.00148016153759,0.32714969684524,0.887717509675098,-4.03538634831434,4.15870961968376,0.352434989555129
p00933,4.1398314671084,0.539015127448338,0.909496316567991,-3.0834917604057,3.28087248043587,0.321203664654069
p00934,4.90249421553447,0.353519348785438,0.891189226193832,-3.92396493743004,4.03633033123915,0.352696943540724
p00935,5.76277010998005,0.106727547058397,0.860550755021389,-4.81890387024283,4.91627266525566,0.419125334175931
p00936,5.15739899187883,0.284544192201198,0.892455813134969,-4.356652523272,4.38947182614212,0.350597424305312
p00937,72.6831167265674,-141.098153811207,0.268676381472956,57.1467587438747,59.6085543634951,6.69623184375665
p00938,5.66524534011426,0.13670585417101,0.833537598222417,-4.40796934353769,4.60981427312988,0.368920322572271
p00939,84.1278138045833,-189.370897708303,0.182693019096507,68.7859608601798,70.38474531649,7.85775406372669
p00940,5.24111856013611,0.261127812016041,0.88140143272068,-4.36689340749861,4.41003091848373,0.349023659856513
p00941,6.84785308364297,-0.261334340856151,0.781963883492432,-5.50438062305219,5.65969643118582,0.444637526866303
p00942,4.8763504048019,0.360396012514369,0.817377165022353,1.57561841232201,3.58223467450079,0.335630934933043
p00943,86.465914861252,-200.09961227598,0.252724790870218,69.1700224248707,71.3357142157148,7.94709948623769
p00944,5.72606646653152,0.118069989409415,0.862495264934502,-4.75343529353769,4.85005115381057,0.395891250197549
p00945,4.91771888894473,0.349497828636831,0.816526386716319,1.62277389584193,3.60449858270004,0.337406535257546
p00946,25.5359030972533,-16.539765982332,0.323152277213995,16.4337649077115,20.6248576012045,2.50431312988568
p00947,6.79169354584105,-0.240730660145502,0.751665431127287,-4.83898856811049,5.65997246371841,0.47421352509448
p00948,89.4189998296747,-214.070560618601,0.23431387556791,72.2280091140328,74.1704105434924,8.25167871234508
p00949,6.02187206111375,0.0245962966233708,0.852091610488312,-5.04263771657283,5.13415462569666,0.41382866324354
p00950,4.56078780013708,0.440498720585328,0.845837852044571,1.68578090061923,3.12968781906195,0.291682774552116
p00951,6.51385408680224,-0.141293656267723,0.795964129156559,-5.27008331242801,5.40150445815324,0.416150272044561
p00952,4.24284173895052,0.515788592712059,0.860387749808507,1.44248357128082,2.89122643985914,0.268104951974198
p00953,35.0049730642752,-31.9595176255318,0.304244036989958,24.8333296107404,28.4468968578432,3.35624912011427
p00954,67.1423430838404,-120.25909905274,0.251080012543449,53.089001878643,55.4211149761628,6.25246039129871
p00955,3.6515548328758,0.641344905232085,0.929606693613516,-2.86284580341928,3.01525045874406,0.250165896329575
p00956,4.18328740984129,0.529286386823681,0.917929659117401,-3.31482227919185,3.45146294021318,0.323982589866747
p00957,4.79210678997771,0.382304657804455,0.816247055611614,1.1537884326938,3.64914882474218,0.345858242754552
p00958,5.11188670614843,0.297115782961044,0.825099951249073,2.13371126269342,3.58189801210242,0.329598921685089
p00959,7.02369790950887,-0.326945236774651,0.773384179929023,-5.68157697073691,5.83283667515514,0.464929034370216
p00960,5.23204931467736,0.263682692403924,0.81545915461506,2.1594097153675,3.72223521439061,0.342185391118548
p00961,5.40399207463218,0.214491736320051,0.889695509211585,-4.58616032761765,4.67669460889604,0.402465947746608
p00962,5.14747146546896,0.287295916628408,0.822971114464745,2.03453761813051,3.641830459711,0.337253397230327
p00963,5.90554309744156,0.061917492094419,0.829919533913664,-4.76677346236034,4.86924396972115,0.376276279543459
p00964,3.13449847795258,0.735724150215476,0.948798619407413,-2.45730135199299,2.59022019848613,0.227328200178362
p00965,6.83238878597001,-0.255643907674436,0.808767640040134,-5.79048867177159,5.84472179583281,0.461902862155781
p00966,3.80044298428322,0.611501099233397,0.941366503008813,-3.17464371917578,3.2601812802061,0.286302144774536
p00967,4.73394602413106,0.397207340441918,0.907220811775349,-3.9451481048791,4.04511625048396,0.339393109074842
p00968,4.3678417856818,0.486837220402842,0.913373117604231,-3.51206961186108,3.65318036553395,0.344236907278145
p00969,86.8653717704873,-201.961992063369,0.204520681468612,70.759222713056,72.4682098940155,8.07568112728399
p00970,7.68230530181175,-0.587466160190536,0.717167896082118,-6.27064381466279,6.40212575082203,0.479712159536529
p00971,4.88217709085962,0.35886659076997,0.816815386084203,1.34471368559214,3.65656708590317,0.345538208062907
p00972,4.44974870248288,0.467410841517456,0.840927433345744,1.34473992998726,3.17914093182564,0.300677637003982
p00973,4.02436404414626,0.564371914358836,0.939017323582351,-3.42648243042866,3.45103248390245,0.284776960069916
p00974,52.316001045195,-72.6190876442645,0.284156702154937,39.7937542880537,42.7079945847501,4.89013876484397
p00975,5.52491033670227,0.178945813308099,0.815184951269839,2.66160914335357,3.88270383526574,0.349639011725264
p00976,5.04492976987073,0.315408344731478,0.885467050566854,-4.09690447595743,4.24020506368775,0.383854804335904
p00977,4.49910359056346,0.455530775264469,0.893252455971546,-3.54892746028336,3.67751422953145,0.291420020585102
p00978,4.09053338894166,0.549928787669742,0.923507920897418,-3.30533705813619,3.40756238377688,0.295341980678121
p00979,4.02983178816847,0.563187368958091,0.846794353327133,0.137460526925807,3.22651676575605,0.311227910974218
p00980,6.84828373292461,-0.261492991984142,0.759735351504415,-5.44254324829429,5.62440763690729,0.422923741224205
p00981,6.02653297050232,0.0230857936997005,0.820207187162795,-4.84773655847939,4.96690903966357,0.3818093396529
p00982,4.39670608052486,0.480032475942377,0.840942650384598,1.33976641163494,3.14655275697522,0.297320178621544
p00983,71.7022032010728,-137.288591216581,0.235743526589503,57.2703445166114,59.4316688780119,6.68198605844597
p00984,80.9692409743685,-175.344324831214,0.26101111820572,64.329294908897,66.6054513667153,7.44241982545466
p00985,3.80818290638097,0.609917066427691,0.937213225134746,-3.14752991538258,3.24632644988482,0.277752799592985
p00986,4.68343035451063,0.410003433612476,0.826037063487051,1.09152902411358,3.53567838001235,0.336957273864966
