datetime,depth,temp,OXY_oxy
1995-05-09 00:00:00,0,7.8,412.5
1995-05-09 00:00:00,1,7.8,409.375
1995-05-09 00:00:00,2,7.8,412.5
1995-05-09 00:00:00,3,7.8,412.5
1995-05-09 00:00:00,4,7.8,412.5
1995-05-09 00:00:00,5,7.7,409.375
1995-05-09 00:00:00,6,7.7,409.375
1995-05-09 00:00:00,7,7.7,409.375
1995-05-09 00:00:00,8,7.7,409.375
1995-05-09 00:00:00,9,7.7,409.375
1995-05-09 00:00:00,10,7.7,409.375
1995-05-09 00:00:00,11,7.7,409.375
1995-05-09 00:00:00,12,7.7,409.375
1995-05-09 00:00:00,13,7.7,409.375
1995-05-09 00:00:00,14,7.6,406.25
1995-05-09 00:00:00,15,7.6,406.25
1995-05-09 00:00:00,16,7.6,409.375
1995-05-09 00:00:00,17,7.6,406.25
1995-05-09 00:00:00,18,7.6,406.25
1995-05-09 00:00:00,19,7.6,NA
1995-05-09 00:00:00,20,7.6,406.25
1995-05-09 00:00:00,21,7.6,403.125
1995-05-09 00:00:00,22,7.6,409.375
1995-05-09 00:00:00,23,7.6,406.25
1995-05-23 00:00:00,0,14,287.5
1995-05-23 00:00:00,1,14,287.5
1995-05-23 00:00:00,2,14,290.625
1995-05-23 00:00:00,3,13.9,290.625
1995-05-23 00:00:00,4,13.9,296.875
1995-05-23 00:00:00,5,13.4,300
1995-05-23 00:00:00,6,13.3,300
1995-05-23 00:00:00,7,13.2,296.875
1995-05-23 00:00:00,8,13.1,293.75
1995-05-23 00:00:00,9,12.9,287.5
1995-05-23 00:00:00,10,12.9,284.375
1995-05-23 00:00:00,11,12.8,284.375
1995-05-23 00:00:00,12,12.6,284.375
1995-05-23 00:00:00,13,11.9,281.25
1995-05-23 00:00:00,14,11.1,278.125
1995-05-23 00:00:00,15,10.8,290.625
1995-05-23 00:00:00,16,10.5,290.625
1995-05-23 00:00:00,17,10.4,284.375
1995-05-23 00:00:00,18,10.2,281.25
1995-05-23 00:00:00,19,10.2,228.125
1995-05-23 00:00:00,20,9.8,259.375
1995-05-23 00:00:00,21,9.6,NA
1995-05-23 00:00:00,21.5,9.6,262.5
1995-05-23 00:00:00,22,9.6,250
1995-05-23 00:00:00,22.5,9.5,231.25
1995-05-23 00:00:00,23,9.5,NA
1995-06-06 00:00:00,0,19.3,315.625
1995-06-06 00:00:00,1,18.7,315.625
1995-06-06 00:00:00,2,18,321.875
1995-06-06 00:00:00,3,17.9,321.875
1995-06-06 00:00:00,4,17.5,318.75
1995-06-06 00:00:00,5,15.6,293.75
1995-06-06 00:00:00,6,15.1,287.5
1995-06-06 00:00:00,7,14.9,296.875
1995-06-06 00:00:00,8,14.6,284.375
1995-06-06 00:00:00,9,14.1,278.125
1995-06-06 00:00:00,10,13.8,281.25
1995-06-06 00:00:00,11,13.5,265.625
1995-06-06 00:00:00,12,13,240.625
1995-06-06 00:00:00,13,12,212.5
1995-06-06 00:00:00,14,11.5,184.375
1995-06-06 00:00:00,15,11.2,181.25
1995-06-06 00:00:00,16,11,153.125
1995-06-06 00:00:00,17,10.6,146.875
1995-06-06 00:00:00,18,10.3,109.375
1995-06-06 00:00:00,19,10.3,100
1995-06-06 00:00:00,20,10.1,62.5
1995-06-06 00:00:00,21,10,28.125
1995-06-06 00:00:00,22,9.9,18.75
1995-06-06 00:00:00,23,9.9,15.625
1995-06-06 00:00:00,24,9.8,9.375
1995-06-21 00:00:00,0,27.6,400
1995-06-21 00:00:00,1,27.4,487.5
1995-06-21 00:00:00,2,25.6,568.75
1995-06-21 00:00:00,3,24.2,471.875
1995-06-21 00:00:00,4,22.3,406.25
1995-06-21 00:00:00,5,20.1,303.125
1995-06-21 00:00:00,6,18.4,253.125
1995-06-21 00:00:00,7,17.5,218.75
1995-06-21 00:00:00,8,16.5,196.875
1995-06-21 00:00:00,9,15.8,193.75
1995-06-21 00:00:00,10,14.7,171.875
