!datetime	Flow_metersCubedPerSecond
1995-01-01 00:00:00	-5.326274
1995-01-02 00:00:00	-5.279789
1995-01-03 00:00:00	-5.232633
1995-01-04 00:00:00	-5.190151
1995-01-05 00:00:00	-5.24443
1995-01-06 00:00:00	-5.297507
1995-01-07 00:00:00	-5.210604
1995-01-08 00:00:00	-5.153491
1995-01-09 00:00:00	-5.191968
1995-01-10 00:00:00	-5.121855
1995-01-11 00:00:00	-5.080963
1995-01-12 00:00:00	-4.987766
1995-01-13 00:00:00	-5.02067
1995-01-14 00:00:00	-5.130408
1995-01-15 00:00:00	-5.017816
1995-01-16 00:00:00	-4.937935
1995-01-17 00:00:00	-4.831148
1995-01-18 00:00:00	-4.904465
1995-01-19 00:00:00	-5.348336
1995-01-20 00:00:00	-5.161512
1995-01-21 00:00:00	-5.137636
1995-01-22 00:00:00	-5.109813
1995-01-23 00:00:00	-5.010224
1995-01-24 00:00:00	-4.917166
1995-01-25 00:00:00	-4.825883
1995-01-26 00:00:00	-4.740954
1995-01-27 00:00:00	-4.658599
1995-01-28 00:00:00	-4.577803
1995-01-29 00:00:00	-4.507304
1995-01-30 00:00:00	-4.433556
1995-01-31 00:00:00	-4.359052
1995-02-01 00:00:00	-4.283704
1995-02-02 00:00:00	-4.216444
1995-02-03 00:00:00	-4.184206
1995-02-04 00:00:00	-4.118518
1995-02-05 00:00:00	-4.06557
1995-02-06 00:00:00	-4.012139
1995-02-07 00:00:00	-3.963927
1995-02-08 00:00:00	-3.912586
1995-02-09 00:00:00	-3.860977
1995-02-10 00:00:00	-3.793336
1995-02-11 00:00:00	-3.752937
1995-02-12 00:00:00	-3.709586
1995-02-13 00:00:00	-3.663314
1995-02-14 00:00:00	-3.626003
1995-02-15 00:00:00	-3.587365
1995-02-16 00:00:00	-3.536378
1995-02-17 00:00:00	-3.478934
1995-02-18 00:00:00	-3.348915
1995-02-19 00:00:00	-3.375239
1995-02-20 00:00:00	-3.265242
1995-02-21 00:00:00	-3.469929
1995-02-22 00:00:00	-3.395373
1995-02-23 00:00:00	-3.43595
1995-02-24 00:00:00	-3.696675
1995-02-25 00:00:00	-3.822901
1995-02-26 00:00:00	-3.887358
1995-02-27 00:00:00	-3.937808
1995-02-28 00:00:00	-3.984619
1995-03-01 00:00:00	-4.009101
1995-03-02 00:00:00	-4.021498
1995-03-03 00:00:00	-4.012744
1995-03-04 00:00:00	-4.149806
1995-03-05 00:00:00	-4.279774
1995-03-06 00:00:00	-4.506211
1995-03-07 00:00:00	-4.498193
1995-03-08 00:00:00	-4.467359
1995-03-09 00:00:00	-4.434476
1995-03-10 00:00:00	-4.215529
1995-03-11 00:00:00	-4.394311
1995-03-12 00:00:00	-4.404028
1995-03-13 00:00:00	-4.393566
1995-03-14 00:00:00	-4.309315
1995-03-15 00:00:00	-4.267967
1995-03-16 00:00:00	-4.204178
1995-03-17 00:00:00	-4.21274
1995-03-18 00:00:00	-4.192247
1995-03-19 00:00:00	-4.152955
1995-03-20 00:00:00	-4.82181
1995-03-21 00:00:00	-4.897147
1995-03-22 00:00:00	-4.905815
1995-03-23 00:00:00	-4.917424
1995-03-24 00:00:00	-4.862754
1995-03-25 00:00:00	-4.840766
1995-03-26 00:00:00	-5.043792
1995-03-27 00:00:00	-5.877294
1995-03-28 00:00:00	-6.197699
1995-03-29 00:00:00	-6.307938
1995-03-30 00:00:00	-6.358877
1995-03-31 00:00:00	-6.413419
1995-04-01 00:00:00	-6.459991
1995-04-02 00:00:00	-6.441431
1995-04-03 00:00:00	-6.313075
1995-04-04 00:00:00	-6.296893
1995-04-05 00:00:00	-6.293571
1995-04-06 00:00:00	-6.340773
1995-04-07 00:00:00	-6.756138
1995-04-08 00:00:00	-7.270833
1995-04-09 00:00:00	-7.752269
1995-04-10 00:00:00	-8.703177
1995-04-11 00:00:00	-9.316911
1995-04-12 00:00:00	-10.090099
1995-04-13 00:00:00	-10.175117
1995-04-14 00:00:00	-10.208166
1995-04-15 00:00:00	-10.27952
1995-04-16 00:00:00	-10.254923
1995-04-17 00:00:00	-10.435025
1995-04-18 00:00:00	-11.529014
1995-04-19 00:00:00	-11.652567
1995-04-20 00:00:00	-11.93015
1995-04-21 00:00:00	-12.312738
1995-04-22 00:00:00	-12.238265
1995-04-23 00:00:00	-12.123136
1995-04-24 00:00:00	-12.115409
1995-04-25 00:00:00	-12.050383
1995-04-26 00:00:00	-12.937397
1995-04-27 00:00:00	-13.692827
1995-04-28 00:00:00	-13.580338
1995-04-29 00:00:00	-13.535607
1995-04-30 00:00:00	-13.384758
1995-05-01 00:00:00	-13.262476
1995-05-02 00:00:00	-13.056029
1995-05-03 00:00:00	-12.780725
1995-05-04 00:00:00	-12.550214
1995-05-05 00:00:00	-12.168914
1995-05-06 00:00:00	-11.743459
1995-05-07 00:00:00	-11.530192
1995-05-08 00:00:00	-12.835648
