datetime,ice_null_GLM,ice_01_GLM,ice_05_GLM,ice_1_GLM,ice_15_GLM,ice_2_GLM,ice_25_GLM,ice_3_GLM,ice_35_GLM,ice_4_GLM,ice_45_GLM,ice_5_GLM,ice_10_GLM,id
2001-12-14,0,0,0,0,0,0,0,0,0,0,0,0,0,mendota
2001-12-15,0,0,0,0,0,0,0,0,0,0,0,0,0,mendota
2001-12-16,0,0,0,0,0,0,0,0,0,0,0,0,0,mendota
2001-12-17,0,0,0,0,0,0,0,0,0,0,0,0,0,mendota
2001-12-18,0,0,0,0,0,0,0,0,0,0,0,0,0,mendota
2001-12-19,0,0,0,0,0,0,0,0,0,0,0,0,0,mendota
2001-12-20,0,0,0,0,0,0,0,0,0,0,0,0,0,mendota
2001-12-21,0,0,0,0,0,0,0,0,0,0,0,0,0,mendota
2001-12-22,0,0,0,0,0,0,0,0,0,0,0,0,0,mendota
2001-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,mendota
2001-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,mendota
2001-12-25,0,0,0,0,0,0,0,0,0,0,0,0,0,mendota
2001-12-26,0,0,0,0,0,0,0,0,0,0,0,0,0,mendota
2001-12-27,0.064610667526722,0.0632048919796944,0.0638505816459656,0.0634676441550255,0.0623898692429066,0.0600346215069294,0.0632369965314865,0.063318207859993,0.0616464130580425,0.0622522346675396,0.0616770163178444,0.0616348758339882,0.0600119046866894,mendota
2001-12-28,0.0699121654033661,0.0689329355955124,0.0694477111101151,0.0686568394303322,0.067727766931057,0.0638203993439674,0.0682071447372437,0.0687296316027641,0.0663179010152817,0.066494032740593,0.0660449340939522,0.0655725374817848,0.0640994608402252,mendota
2001-12-29,0.076266847550869,0.0754136517643929,0.0760196223855019,0.0749339908361435,0.0741536840796471,0.0691113322973251,0.0743154659867287,0.0750828236341476,0.0721175074577332,0.0718597024679184,0.0715278312563896,0.0708867087960243,0.0696386694908142,mendota
2001-12-30,0.088845856487751,0.0880581364035606,0.0887928828597069,0.0874466896057129,0.0866766273975372,0.0815604478120804,0.0865150764584541,0.0874020531773567,0.0842687487602234,0.084037072956562,0.0839368253946304,0.0832767635583878,0.0822437927126884,mendota
2001-12-31,0.100153222680092,0.0994299203157425,0.100063778460026,0.0985564887523651,0.0977159515023232,0.0932498797774315,0.0976168736815453,0.0984606370329857,0.095670111477375,0.0954769030213356,0.0955683067440987,0.094924196600914,0.0941027477383614,mendota
2002-01-01,0.120341569185257,0.119653530418873,0.120170027017593,0.118873752653599,0.118151478469372,0.114404760301113,0.118097230792046,0.118872292339802,0.116464368999004,0.116329506039619,0.116547808051109,0.115925550460815,0.11531849950552,mendota
2002-01-02,0.124710567295551,0.12453868240118,0.124625369906425,0.123458236455917,0.122341051697731,0.118967458605766,0.122708193957806,0.12329626083374,0.121174618601799,0.121134534478188,0.12120445817709,0.120558261871338,0.120003640651703,mendota
2002-01-03,0.132998034358025,0.133502349257469,0.132996097207069,0.131817445158958,0.129922226071358,0.126783266663551,0.131074994802475,0.131428152322769,0.129645019769669,0.129708841443062,0.129267677664757,0.128590062260628,0.127995878458023,mendota
2002-01-04,0.147629126906395,0.148091048002243,0.147550001740456,0.146507143974304,0.144912406802177,0.142237976193428,0.145899802446365,0.146190360188484,0.144700080156326,0.144774556159973,0.144504427909851,0.143893346190453,0.143506571650505,mendota
