datetime,ice_null_GOTM,ice_01_GOTM,ice_05_GOTM,ice_1_GOTM,ice_15_GOTM,ice_2_GOTM,ice_25_GOTM,ice_3_GOTM,ice_35_GOTM,ice_4_GOTM,ice_45_GOTM,ice_5_GOTM,ice_10_GOTM,id
1995-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,mendota
1995-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,mendota
1995-01-03,0.0395293831825256,0.0386416167020798,0.0384470112621784,0.0382013022899628,0.0379861518740654,0.0377819202840328,0.0364177785813808,0.0362088494002819,0.0360022485256195,0.0357644893229008,0.0355386398732662,0.035279393196106,0.0321810096502304,mendota
1995-01-04,0.0803671479225159,0.0791691541671753,0.0788575038313866,0.0784070566296577,0.0779350399971008,0.0774481371045113,0.078373059630394,0.0779741480946541,0.0775728449225426,0.0771107971668243,0.0766704007983208,0.0761851295828819,0.0738067179918289,mendota
1995-01-05,0.120551466941833,0.119456365704536,0.119005478918552,0.118428990244865,0.117835626006126,0.117185987532139,0.118069484829903,0.11736973375082,0.116660892963409,0.115878365933895,0.115157037973404,0.114430859684944,0.110843166708946,mendota
1995-01-06,0.157326444983482,0.156335085630417,0.155677124857903,0.154820755124092,0.153975144028664,0.153154104948044,0.153844222426414,0.15291665494442,0.151944577693939,0.15092334151268,0.149952977895737,0.148948460817337,0.143543839454651,mendota
1995-01-07,0.174324303865433,0.173348888754845,0.172540009021759,0.171391427516937,0.170146733522415,0.168983399868011,0.169338464736938,0.16803252696991,0.166677385568619,0.16524076461792,0.163932397961617,0.162594065070152,0.154757931828499,mendota
1995-01-08,0.186290070414543,0.185318067669868,0.184350892901421,0.182954668998718,0.181288480758667,0.179715439677238,0.179706007242203,0.178009226918221,0.176320016384125,0.174554571509361,0.172978520393372,0.171494752168655,0.161356136202812,mendota
1995-01-09,0.206336989998817,0.205391481518745,0.204294621944427,0.202724277973175,0.200781479477882,0.198874905705452,0.198611736297607,0.196746125817299,0.194892555475235,0.192968443036079,0.19121690094471,0.189512833952904,0.175420746207237,mendota
1995-01-10,0.228253051638603,0.227335780858994,0.226114884018898,0.224367767572403,0.222290992736816,0.220108687877655,0.21946220099926,0.217362567782402,0.215290248394012,0.21313214302063,0.21114619076252,0.209182634949684,0.193947866559029,mendota
1995-01-11,0.240222632884979,0.239306285977364,0.237927749752998,0.235936388373375,0.233615845441818,0.231142088770866,0.230095028877258,0.227556705474854,0.225109726190567,0.222554951906204,0.22013983130455,0.217771932482719,0.203952804207802,mendota
