datetime,dens_null_Simstrat,dens_01_Simstrat,dens_05_Simstrat,dens_1_Simstrat,dens_15_Simstrat,dens_2_Simstrat,dens_25_Simstrat,dens_3_Simstrat,dens_35_Simstrat,dens_4_Simstrat,dens_45_Simstrat,dens_5_Simstrat,dens_10_Simstrat,id
1995-01-01,0.05023193359375,0.05023193359375,0.05023193359375,0.05023193359375,0.05023193359375,0.05023193359375,0.05023193359375,0.05023193359375,0.05023193359375,0.05023193359375,0.05023193359375,0.05023193359375,0.05023193359375,mendota
1995-01-02,0.0562744140625,0.05609130859375,0.05712890625,0.05999755859375,0.0633544921875,0.0667724609375,0.0699462890625,0.07342529296875,0.07672119140625,0.0802001953125,0.0836181640625,0.08709716796875,0.1236572265625,mendota
1995-01-03,0.05389404296875,0.05364990234375,0.05517578125,0.06005859375,0.065673828125,0.0714111328125,0.07696533203125,0.082763671875,0.08856201171875,0.0946044921875,0.1005859375,0.10675048828125,0.16943359375,mendota
1995-01-04,0.04742431640625,0.04730224609375,0.04913330078125,0.05633544921875,0.06439208984375,0.07244873046875,0.08050537109375,0.0889892578125,0.09735107421875,0.1058349609375,0.114501953125,0.1231689453125,0.21221923828125,mendota
1995-01-05,0.046875,0.046630859375,0.04931640625,0.0596923828125,0.0711669921875,0.08282470703125,0.094482421875,0.10699462890625,0.11920166015625,0.13226318359375,0.144775390625,0.15777587890625,0.28216552734375,mendota
1995-01-06,0.0428466796875,0.04443359375,0.04827880859375,0.06182861328125,0.07672119140625,0.09149169921875,0.10626220703125,0.1241455078125,0.13751220703125,0.156005859375,0.17181396484375,0.18798828125,0.33917236328125,mendota
1995-01-07,0.04400634765625,0.0421142578125,0.04827880859375,0.06427001953125,0.0823974609375,0.1002197265625,0.11883544921875,0.13800048828125,0.1556396484375,0.17913818359375,0.1978759765625,0.2166748046875,0.3853759765625,mendota
1995-01-08,0.041015625,0.04376220703125,0.04913330078125,0.065185546875,0.08758544921875,0.1077880859375,0.12921142578125,0.15576171875,0.17144775390625,0.19586181640625,0.21551513671875,0.23651123046875,0.4202880859375,mendota
1995-01-09,0.0391845703125,0.04132080078125,0.042724609375,0.07318115234375,0.091552734375,0.11444091796875,0.14276123046875,0.16693115234375,0.18634033203125,0.2109375,0.232666015625,0.25262451171875,0.445068359375,mendota
1995-01-10,0.036865234375,0.04058837890625,0.04833984375,0.072021484375,0.09197998046875,0.120361328125,0.14825439453125,0.17327880859375,0.19305419921875,0.22265625,0.2412109375,0.2628173828125,0.463623046875,mendota
1995-01-11,0.0390625,0.041015625,0.0460205078125,0.07342529296875,0.09893798828125,0.12420654296875,0.15289306640625,0.18182373046875,0.2039794921875,0.22723388671875,0.2503662109375,0.2718505859375,0.47784423828125,mendota
1995-01-12,0.03582763671875,0.04046630859375,0.048583984375,0.07427978515625,0.103515625,0.1273193359375,0.1593017578125,0.18682861328125,0.210693359375,0.2376708984375,0.25640869140625,0.2781982421875,0.49212646484375,mendota
1995-01-13,0.03521728515625,0.0379638671875,0.04608154296875,0.0762939453125,0.10394287109375,0.1302490234375,0.16400146484375,0.19256591796875,0.21484375,0.247314453125,0.26153564453125,0.28411865234375,0.50244140625,mendota
1995-01-14,0.03424072265625,0.0380859375,0.04541015625,0.07623291015625,0.10552978515625,0.13262939453125,0.167236328125,0.193603515625,0.2183837890625,0.2491455078125,0.26580810546875,0.29071044921875,0.5123291015625,mendota
1995-01-15,0.03411865234375,0.037353515625,0.04583740234375,0.07781982421875,0.10809326171875,0.13555908203125,0.170166015625,0.19830322265625,0.2222900390625,0.25311279296875,0.271484375,0.296142578125,0.52301025390625,mendota
1995-01-16,0.03363037109375,0.036865234375,0.0455322265625,0.0791015625,0.11163330078125,0.1383056640625,0.17376708984375,0.20098876953125,0.2271728515625,0.25665283203125,0.27777099609375,0.3018798828125,0.53369140625,mendota
1995-01-17,0.0330810546875,0.03619384765625,0.04547119140625,0.079833984375,0.1124267578125,0.1402587890625,0.17626953125,0.20452880859375,0.23016357421875,0.26031494140625,0.281982421875,0.306884765625,0.54400634765625,mendota
1995-01-18,0.0323486328125,0.03509521484375,0.04461669921875,0.08062744140625,0.1177978515625,0.14239501953125,0.17828369140625,0.20819091796875,0.234130859375,0.26446533203125,0.286865234375,0.31201171875,0.555419921875,mendota
1995-01-19,0.0308837890625,0.0340576171875,0.04412841796875,0.079345703125,0.1187744140625,0.144287109375,0.17901611328125,0.2109375,0.2364501953125,0.26617431640625,0.2891845703125,0.3154296875,0.56256103515625,mendota
1995-01-20,0.02984619140625,0.03302001953125,0.04437255859375,0.08026123046875,0.11865234375,0.14654541015625,0.1807861328125,0.21173095703125,0.23834228515625,0.26806640625,0.293701171875,0.31951904296875,0.57110595703125,mendota
1995-01-21,0.02978515625,0.03167724609375,0.04248046875,0.08087158203125,0.11932373046875,0.146728515625,0.1817626953125,0.21527099609375,0.24151611328125,0.27227783203125,0.29705810546875,0.323486328125,0.5789794921875,mendota
1995-01-22,0.0294189453125,0.031494140625,0.04547119140625,0.080810546875,0.11993408203125,0.148193359375,0.18402099609375,0.21746826171875,0.24432373046875,0.27545166015625,0.3011474609375,0.3284912109375,0.58892822265625,mendota
1995-01-23,0.02874755859375,0.031005859375,0.04461669921875,0.082275390625,0.12066650390625,0.15087890625,0.18603515625,0.21966552734375,0.24749755859375,0.27899169921875,0.3056640625,0.33294677734375,0.5982666015625,mendota
