datetime,dens_null,dens_01,dens_05,dens_1,dens_15,dens_2,dens_25,dens_3,dens_35,dens_4,dens_45,dens_5,dens_10,id
1995-01-01,0.049835205078125,0.049652099609375,0.049652099609375,0.049652099609375,0.049652099609375,0.049652099609375,0.049652099609375,0.049652099609375,0.049652099609375,0.049652099609375,0.049652099609375,0.049652099609375,0.049652099609375,mendota
1995-01-02,0.0531005859375,0.0528767903645833,0.0531005859375,0.0539347330729167,0.054931640625,0.0559488932291667,0.056884765625,0.05792236328125,0.05889892578125,0.0599161783854167,0.0609130859375,0.06195068359375,0.0729573567708333,mendota
1995-01-03,0.0513102213541667,0.051025390625,0.0514119466145833,0.0528361002604167,0.05450439453125,0.0561930338541667,0.0583292643229167,0.0600179036458333,0.0617472330729167,0.06353759765625,0.0653076171875,0.0671183268229167,0.0864054361979167,mendota
1995-01-04,0.0419108072916667,0.0417277018229167,0.0421549479166667,0.0442301432291667,0.0465901692708333,0.0489908854166667,0.0516153971354167,0.0541178385416667,0.05657958984375,0.0590616861979167,0.0616251627604167,0.064208984375,0.0909830729166667,mendota
1995-01-05,0.0359090169270833,0.03564453125,0.03662109375,0.0395711263020833,0.0429280598958333,0.04638671875,0.04998779296875,0.0537516276041667,0.0573933919270833,0.0613199869791667,0.0650634765625,0.0689697265625,0.106302897135417,mendota
1995-01-06,0.0312296549479167,0.03167724609375,0.032470703125,0.0363972981770833,0.04083251953125,0.045166015625,0.0497029622395833,0.0551350911458333,0.05902099609375,0.064697265625,0.0694173177083333,0.0743204752604167,0.119608561197917,mendota
1995-01-07,0.0303751627604167,0.0296834309895833,0.0310872395833333,0.0356852213541667,0.041015625,0.0462443033854167,0.0519205729166667,0.05767822265625,0.0629069010416667,0.0709635416666667,0.0821126302083333,0.0939534505208333,0.229024251302083,mendota
1995-01-08,0.0279744466145833,0.0288289388020833,0.02978515625,0.0342203776041667,0.0408732096354167,0.0516764322916667,0.06561279296875,0.0824381510416667,0.0966796875,0.114766438802083,0.131998697916667,0.150390625,0.3526611328125,mendota
1995-01-09,0.0257771809895833,0.0264485677083333,0.02593994140625,0.03729248046875,0.0527140299479167,0.0709228515625,0.0928751627604167,0.114725748697917,0.136678059895833,0.16064453125,0.184549967447917,0.215230305989583,0.53436279296875,mendota
1995-01-10,0.02386474609375,0.0250244140625,0.02655029296875,0.0384928385416667,0.064208984375,0.0899454752604167,0.120585123697917,0.161356608072917,0.201944986979167,0.246663411458333,0.282267252604167,0.30902099609375,0.563252766927083,mendota
1995-01-11,0.0238240559895833,0.0244140625,0.0253092447916667,0.05340576171875,0.0825602213541667,0.1298828125,0.175923665364583,0.20806884765625,0.237325032552083,0.266499837239583,0.295166015625,0.322977701822917,0.596435546875,mendota
1995-01-12,0.0219523111979167,0.0234375,0.0305989583333333,0.0592854817708333,0.104105631510417,0.148661295572917,0.183675130208333,0.217041015625,0.249003092447917,0.280476888020833,0.309916178385417,0.340291341145833,0.60650634765625,mendota
1995-01-13,0.0208333333333333,0.021728515625,0.0340169270833333,0.07696533203125,0.118896484375,0.155069986979167,0.192830403645833,0.227132161458333,0.25567626953125,0.28948974609375,0.315694173177083,0.3447265625,0.616170247395833,mendota
1995-01-14,0.0197347005208333,0.0209554036458333,0.0381673177083333,0.08392333984375,0.12310791015625,0.159810384114583,0.195597330729167,0.227640787760417,0.259134928385417,0.29205322265625,0.319986979166667,0.35015869140625,0.628173828125,mendota
1995-01-15,0.0190836588541667,0.0201212565104167,0.04290771484375,0.0873006184895833,0.126424153645833,0.16143798828125,0.1981201171875,0.2318115234375,0.263224283854167,0.2969970703125,0.326151529947917,0.356465657552083,0.638997395833333,mendota
1995-01-16,0.0181477864583333,0.0191853841145833,0.0444539388020833,0.0888264973958333,0.127848307291667,0.16326904296875,0.200927734375,0.235127766927083,0.267903645833333,0.3011474609375,0.331075032552083,0.36248779296875,0.643839518229167,mendota
1995-01-17,0.0171712239583333,0.0181681315104167,0.045654296875,0.0891520182291667,0.128763834635417,0.16546630859375,0.204020182291667,0.2376708984375,0.2705078125,0.304158528645833,0.33441162109375,0.364969889322917,0.651265462239583,mendota
1995-01-18,0.0163167317708333,0.0171915690104167,0.0459391276041667,0.0898030598958333,0.131591796875,0.167236328125,0.20501708984375,0.240132649739583,0.272969563802083,0.30670166015625,0.337443033854167,0.3687744140625,0.661661783854167,mendota
1995-01-19,0.0151774088541667,0.0161946614583333,0.04547119140625,0.08978271484375,0.13214111328125,0.1680908203125,0.20611572265625,0.24212646484375,0.275309244791667,0.309326171875,0.34063720703125,0.37249755859375,0.666605631510417,mendota
1995-01-20,0.01458740234375,0.015625,0.0462239583333333,0.0906982421875,0.1331787109375,0.170003255208333,0.208089192708333,0.244120279947917,0.277811686197917,0.311767578125,0.34381103515625,0.375467936197917,0.6707763671875,mendota
1995-01-21,0.0145263671875,0.0151163736979167,0.0463460286458333,0.0912882486979167,0.133809407552083,0.170979817708333,0.20916748046875,0.24591064453125,0.279398600260417,0.31365966796875,0.345316569010417,0.377095540364583,0.67718505859375,mendota
1995-01-22,0.0143636067708333,0.0150146484375,0.04791259765625,0.09173583984375,0.13446044921875,0.171875,0.210225423177083,0.24725341796875,0.281005859375,0.315958658854167,0.34857177734375,0.38116455078125,0.684834798177083,mendota
1995-01-23,0.0142415364583333,0.0149943033854167,0.0479329427083333,0.0926310221354167,0.135009765625,0.172993977864583,0.211812337239583,0.24908447265625,0.283548990885417,0.31878662109375,0.351806640625,0.385111490885417,0.696512858072917,mendota
