datetime,temp_null_GOTM,temp_01_GOTM,temp_05_GOTM,temp_1_GOTM,temp_15_GOTM,temp_2_GOTM,temp_25_GOTM,temp_3_GOTM,temp_35_GOTM,temp_4_GOTM,temp_45_GOTM,temp_5_GOTM,temp_10_GOTM,id
1995-01-01,0.999999940395355,0.999999940395355,0.999999940395355,0.999999940395355,0.999999940395355,0.999999940395355,0.999999940395355,0.999999940395355,0.999999940395355,0.999999940395355,0.999999940395355,0.999999940395355,0.999999940395355,mendota
1995-01-02,1.25707015395164,1.25597508251667,1.25482623279095,1.25339691340923,1.25209380686283,1.25067381560802,1.24904714524746,1.24752381443977,1.24593952298164,1.24421669542789,1.24263592064381,1.24089117348194,1.22603195905685,mendota
1995-01-03,1.35789907723665,1.35719847306609,1.35561959072948,1.35373485088348,1.35226254165173,1.35095924884081,1.37036735191941,1.36852880194783,1.36665357649326,1.3643961623311,1.36223246157169,1.35975897312164,1.35937401652336,mendota
1995-01-04,1.15107677876949,1.15253153070807,1.15231940150261,1.15291640907526,1.15387666597962,1.15401214361191,1.16360779106617,1.16290675103664,1.16205906867981,1.16037441045046,1.15824311226606,1.15633927285671,1.14505469426513,mendota
1995-01-05,1.01562802493572,1.01695828139782,1.01850028336048,1.02049618959427,1.02306236326694,1.02594703435898,1.03628443926573,1.03746520727873,1.03691343963146,1.0362142175436,1.03428801894188,1.03152303397655,1.00490110367537,mendota
1995-01-06,0.901618450880051,0.902514353394508,0.905372887849808,0.909422464668751,0.913778871297836,0.917150944471359,0.926720470190048,0.929705545306206,0.931273102760315,0.930880345404148,0.928548716008663,0.92549704760313,0.871318697929382,mendota
1995-01-07,0.825570642948151,0.826299786567688,0.829763740301132,0.83467710018158,0.839763015508652,0.842844992876053,0.850118890404701,0.852875083684921,0.854455813765526,0.852960921823978,0.84822253882885,0.843473650515079,0.726807191967964,mendota
1995-01-08,0.744611337780952,0.74518820643425,0.747357130050659,0.750356778502464,0.75511971116066,0.758396498858929,0.764342397451401,0.765960462391376,0.764838948845863,0.760655090212822,0.75423327088356,0.745016187429428,0.38978099822998,mendota
1995-01-09,0.657307013869286,0.657650619745255,0.658392518758774,0.659228026866913,0.664572536945343,0.668529942631721,0.673460751771927,0.673553541302681,0.670890137553215,0.664184369146824,0.652334645390511,0.637043818831444,0.0105142965912819,mendota
1995-01-10,0.592689156532288,0.592913419008255,0.592901766300201,0.591806143522263,0.593349725008011,0.59519100189209,0.597426667809486,0.594453848898411,0.587865352630615,0.575942978262901,0.555460348725319,0.527510955929756,0.00511772185564041,mendota
1995-01-11,0.548211097717285,0.54844132065773,0.548307090997696,0.546629130840302,0.544437110424042,0.54071070253849,0.537244975566864,0.528454646468163,0.514942780137062,0.491982728242874,0.456696301698685,0.405898168683052,0.00323617830872536,mendota
1995-01-12,0.503517180681229,0.503763616085052,0.502357915043831,0.497924327850342,0.490481644868851,0.481624625623226,0.471755005419254,0.456438019871712,0.431547880172729,0.393330469727516,0.327960573136806,0.189528360962868,0.00152701511979103,mendota
1995-01-13,0.456330180168152,0.456563651561737,0.453486710786819,0.445513755083084,0.433209031820297,0.419202521443367,0.403580896556377,0.378888040781021,0.336393736302853,0.242080807685852,0.11210398375988,0.0302134230732918,0.00136566162109375,mendota
1995-01-14,0.413851231336594,0.414083361625671,0.409101754426956,0.397486433386803,0.379857003688812,0.358231335878372,0.332328379154205,0.289813324809074,0.171858638525009,0.0589784979820251,0.0341541990637779,0.0171582102775574,0.00124409794807434,mendota
1995-01-15,0.381603047251701,0.381870031356812,0.37522155046463,0.360962882637978,0.337943404912949,0.304901957511902,0.261469550430775,0.154867686331272,0.0437930077314377,0.0375512987375259,0.0221187472343445,0.0101156383752823,0.00142864882946014,mendota
1995-01-16,0.34205473959446,0.342312753200531,0.332645371556282,0.312253683805466,0.281168967485428,0.236778408288956,0.139073818922043,0.0390560254454613,0.0344646722078323,0.0257580503821373,0.00976694002747536,0.00529667735099792,0.000699162483215332,mendota
1995-01-17,0.302755922079086,0.302981853485107,0.290652468800545,0.264033585786819,0.220373004674911,0.133153423666954,0.0390389561653137,0.0363756269216537,0.0337648168206215,0.0234366282820702,0.00942640751600266,0.00552907958626747,0.00141559541225433,mendota
1995-01-18,0.27193021774292,0.272151812911034,0.257089465856552,0.223406404256821,0.15884356200695,0.0445832759141922,0.0366059839725494,0.03420739620924,0.0304174870252609,0.0171072781085968,0.00795330852270126,0.00522758811712265,0.00143380090594292,mendota
1995-01-19,0.239196196198463,0.239381402730942,0.220620423555374,0.176047325134277,0.0690693706274033,0.0373708456754684,0.0322965234518051,0.0307984054088593,0.0273490697145462,0.0179863274097443,0.0087444856762886,0.00624533742666245,0.00161279365420341,mendota
1995-01-20,0.226993799209595,0.227237373590469,0.205855995416641,0.152008250355721,0.0583480149507523,0.0440355986356735,0.0360530838370323,0.0337614640593529,0.0303035452961922,0.020077046006918,0.00966419279575348,0.00698302313685417,0.00251913070678711,mendota
1995-01-21,0.223194539546967,0.223535865545273,0.199492871761322,0.138673350214958,0.0649024844169617,0.038926750421524,0.0321831405162811,0.0295054540038109,0.0214955061674118,0.0082138255238533,0.00494742393493652,0.00348357483744621,0.00127169117331505,mendota
1995-01-22,0.220086842775345,0.220516875386238,0.193764358758926,0.130715161561966,0.0618453174829483,0.0441182181239128,0.0320789143443108,0.0281832963228226,0.0173319876194,0.00713478028774261,0.00423391163349152,0.00330198369920254,0.00160949490964413,mendota
