datetime,ln_null,ln_01,ln_05,ln_1,ln_15,ln_2,ln_25,ln_3,ln_35,ln_4,ln_45,ln_5,ln_10,id
1995-01-01,0.039968655766921,0.039968655766921,0.039968655766921,0.039968655766921,0.039968655766921,0.039968655766921,0.039968655766921,0.039968655766921,0.039968655766921,0.039968655766921,0.039968655766921,0.039968655766921,0.039968655766921,mendota
1995-01-02,0.0130660577517653,0.0130297054933486,0.0128978078573364,0.0128768508010931,0.0128639066941292,0.0128593518821288,0.0128547815324234,0.0128470057570865,0.012841724980774,0.0128345457629202,0.0128305178167304,0.0128224129040589,0.0127701210917539,mendota
1995-01-03,0.0413110004274835,0.0412528755796582,0.0411022922668884,0.0409614631709391,0.0408772895331215,0.0408822882394096,0.0419533937388097,0.0419162349362288,0.0417821096074932,0.041593013098895,0.0413878142542621,0.0411702056439537,0.0409322625047419,mendota
1995-01-04,0.0366686938698214,0.0367731655322077,0.0367021737173832,0.0366211398897143,0.0365779019457748,0.0365162642908865,0.0366309509987477,0.0364593292245379,0.0362626063949854,0.0360217097071501,0.0357050514375986,0.0354042317980394,0.0331341527888737,mendota
1995-01-05,0.0212233163547381,0.021281357344937,0.0212547232832832,0.0212290094211464,0.0212254277114742,0.0212065431969706,0.021286965811176,0.0212334596745667,0.021151525307427,0.0210671071565832,0.0209007465538658,0.0207149620573438,0.0188567316194265,mendota
1995-01-06,0.0671413974286242,0.0673547621449475,0.0673880884289929,0.0674636156705798,0.0675345396782188,0.0674522121589257,0.0675932283094806,0.067530306803595,0.0672145788880756,0.0669157680074018,0.0663231254749451,0.0017568524359901,0.00165529479781873,mendota
1995-01-07,0.00268698204292633,0.00258342617415789,0.00246813057157878,0.00241825009588715,0.00236067637782828,0.00224377850453282,0.00227155178175408,0.00226848641791248,0.00211781051099882,0.00240558680998685,0.00244638280666386,0.00238596869241002,0.00210294197488621,mendota
1995-01-08,0.00237559163984966,0.00261661770160197,0.00228909950629216,0.00193248857356765,0.00207656505618496,0.00196095271845546,0.00179572010648907,0.00228023388264253,0.00183295987062595,0.00210630736276221,0.00196181473633158,0.00187812344202409,0.00185643080895374,mendota
1995-01-09,0.00608202062618087,0.00632630312946692,0.00492649171314057,0.00606622222451716,0.00500859535316024,0.00459000918698807,0.00553327992528426,0.00559884167193549,0.00479089495457915,0.00520969487943045,0.00509735051110981,0.00472192940521424,0.00429502330278929,mendota
1995-01-10,0.00186672978904473,0.00212783369854421,0.00188243246603891,0.00178845605417162,0.00140572508500021,0.00147467812606412,0.00173246722759478,0.00169108394942505,0.00136552614255388,0.00170956336096413,0.00142150578049449,0.00139469570887199,0.00138854369020122,mendota
