datetime,salt_null,salt_01,salt_05,salt_1,salt_15,salt_2,salt_25,salt_3,salt_35,salt_4,salt_45,salt_5,salt_10,id
1995-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,mendota
1995-01-02,3.70005182048772e-09,-6.6620486904867e-11,0.0011170845819682,0.00228441337738635,0.00366580286367935,0.00501505985850296,0.00625268325203858,0.00759001528217595,0.00886025545491975,0.0101988994081239,0.0115031297504326,0.0128725054859539,0.0269606344897966,mendota
1995-01-03,6.23337352105106e-09,-1.75742928358128e-08,0.00169893135390945,0.00403257473446198,0.00636294622358946,0.00865780700382857,0.0108407929702328,0.0131051870846477,0.0153786709073908,0.0177376638018814,0.0200840416216579,0.0224764702383406,0.0467280678613709,mendota
1995-01-04,4.76673752321706e-09,-5.9771308163666e-05,0.00210829977951713,0.00560815460122891,0.00887625057635008,0.0120794234339133,0.0152475804253163,0.0185092906319847,0.021717946495986,0.0249465065860522,0.0282803483470067,0.0315995844864646,0.065635515517395,mendota
1995-01-05,7.0333499024855e-09,-8.59562160258065e-05,0.00312935757915511,0.00814401493251656,0.0127655808953643,0.017339065157205,0.021826412015006,0.0266821565557899,0.0313008484571974,0.036145461830523,0.0410196117888669,0.0460569021434924,0.0938063693383487,mendota
1995-01-06,8.90001198664928e-09,-0.000124079997779821,0.00413499209545402,0.0106003545359622,0.0165382262025181,0.0225418769890477,0.0285250374624013,0.0346842725369072,0.0407545825268395,0.046954954751925,0.053111788348095,0.059595215701601,0.11819629430219,mendota
1995-01-07,9.06667689074917e-09,-0.000124383337303395,0.0050339467729638,0.0128980826490543,0.0202379653213522,0.0275274561883805,0.0348126828478996,0.0421309727191215,0.0494957419036079,0.0578315142334607,0.0721511861675784,0.0874558210268219,0.260587668414473,mendota
1995-01-08,9.73333650714873e-09,-0.00017373332502757,0.00596978534300755,0.0152922352288651,0.0238983839922848,0.0389001553445401,0.0569226849660538,0.0765068532475842,0.097344454740797,0.118920688757404,0.141478729244682,0.16471101708089,0.42663379873386,mendota
1995-01-09,1.1000035253043e-08,-0.000246556657960658,0.00697790701072639,0.0209462638512434,0.0450757262471105,0.0697551811639225,0.0959068993408512,0.123889498643583,0.153748953133724,0.183425215997223,0.214172165322642,0.254106885410655,0.669502450006121,mendota
1995-01-10,1.12000482962079e-08,-0.00032153999958003,0.00776464377130045,0.0275856064192036,0.0669382615437352,0.0997211751342301,0.138114840695323,0.191299858136081,0.245733733798033,0.300322371516131,0.347500378751837,0.381042067575474,0.705784274400609,mendota
1995-01-11,1.14333336872126e-08,-0.000378733314391866,0.00938656287000109,0.0543333412134264,0.094176295726309,0.15864164826877,0.216804603521117,0.254834690416696,0.292275042294856,0.328677754690318,0.364760620263723,0.400483327673328,0.745321952480102,mendota
1995-01-12,1.26666842940419e-08,-0.000410833325986459,0.0212324028796047,0.0657415529483387,0.126437966969244,0.186387704006412,0.226954793674205,0.267262786886117,0.307519022011907,0.345776095853959,0.385360774325629,0.42618778998451,0.75668396093306,mendota
1995-01-13,1.31000585194367e-08,-0.000460000017786418,0.0329135960187159,0.0959059524226025,0.150440302192427,0.195377035022678,0.238555971975586,0.280007533527813,0.317583522272836,0.357906735204779,0.397382019823112,0.435333553758331,0.769136551702483,mendota
1995-01-14,1.31333308672765e-08,-0.000485799981409703,0.0447689000685993,0.108283375592616,0.156257168065224,0.201857024380236,0.242996701074238,0.283276909781042,0.325689263456335,0.36644349409634,0.404756452342288,0.441880289832814,0.78442763259712,mendota
1995-01-15,1.33666920495064e-08,-0.000474166675909752,0.0568424099171049,0.112406396093547,0.16043489666644,0.204627440186262,0.247974209201781,0.291571974388679,0.33397183347275,0.373527842563552,0.412585972233993,0.449833012675602,0.796924677840025,mendota
1995-01-16,1.54333671768351e-08,-0.000483333334765727,0.0606624407325095,0.115147485400485,0.16286817759637,0.208747983862205,0.254329733977746,0.298802687427421,0.339527295174965,0.379093487057162,0.417974923505199,0.456698345604915,0.803006701340867,mendota
1995-01-17,1.58666656110048e-08,-0.000494000005043442,0.0628642248460286,0.117035509560386,0.16640941895768,0.213885257092026,0.26008398242728,0.301579684886747,0.342640999007964,0.382711781540972,0.422221877618616,0.459903133616535,0.812715391040153,mendota
1995-01-18,1.67666864096342e-08,-0.000508166663166776,0.0644934763270915,0.119336696336783,0.169566013715155,0.217918707751475,0.261818343486955,0.304477511671015,0.345888389943373,0.386475638406561,0.426294922141248,0.465019142101331,0.825685230331904,mendota
1995-01-19,1.76667072082637e-08,-0.000577400019210472,0.0657103299139029,0.121297445512027,0.172507235228219,0.219752377921244,0.26460824244081,0.307736337726813,0.349845850114131,0.391132578694548,0.431549863113787,0.47077021683458,0.833616433885103,mendota
1995-01-20,1.8700044771928e-08,-0.000561133345096702,0.0668356709405392,0.122202906093056,0.174268926573329,0.221622707923264,0.267009981824989,0.310675030569996,0.353191232673377,0.394644284461113,0.435083287866443,0.474464935324249,0.838817361100458,mendota
1995-01-21,1.85000317287631e-08,-0.000614133321808671,0.0676020648437164,0.123454510570203,0.175583233843478,0.223913142858047,0.269339001548398,0.313066380504703,0.35579488097657,0.397402529715464,0.437796541391208,0.477132078624284,0.847457811059182,mendota
1995-01-22,2.06334031342218e-08,-0.000610933336247399,0.0684285691798626,0.124858454682302,0.177235225858036,0.225312581692189,0.271049451045125,0.315364617476007,0.358378900869563,0.400854423752132,0.442182305062336,0.482390639696253,0.85668520218284,mendota
