datetime,ssi_null_GOTM,ssi_01_GOTM,ssi_05_GOTM,ssi_1_GOTM,ssi_15_GOTM,ssi_2_GOTM,ssi_25_GOTM,ssi_3_GOTM,ssi_35_GOTM,ssi_4_GOTM,ssi_45_GOTM,ssi_5_GOTM,ssi_10_GOTM,id
1995-01-01,10.0238432033831,10.0238432033831,10.0238432033831,10.0238432033831,10.0238432033831,10.0238432033831,10.0238432033831,10.0238432033831,10.0238432033831,10.0238432033831,10.0238432033831,10.0238432033831,10.0238432033831,mendota
1995-01-02,15.0745791625889,15.0481719744361,15.0160198619007,14.9755767610116,14.9399278128008,14.9039200496874,14.8626294941498,14.8237075396896,14.7824168381309,14.7352475058399,14.6917169975817,14.6411607561616,14.2162896787077,mendota
1995-01-03,16.1170735214638,16.0676193676961,15.982724974485,15.87965132591,15.7946800846969,15.7148578389753,16.0081938409134,15.9164629248171,15.8206568142145,15.7034730083537,15.5908272985213,15.4621903821745,14.7778663608718,mendota
1995-01-04,13.4520443912062,13.4546319045684,13.3985229491038,13.3355418634864,13.2924601321583,13.2445469502899,13.3066450557689,13.2250544849051,13.1371133888333,13.029308637585,12.9175107815703,12.7986836072728,11.7758524531131,mendota
1995-01-05,12.128369107591,12.1419718417742,12.10906088216,12.0666381632758,12.0416804364735,12.0158955576142,12.0678534716688,12.0199893730521,11.9537391497465,11.8700862205523,11.7549512178168,11.6214314381732,10.1797631870662,mendota
1995-01-06,11.0840864907136,11.0994214883628,11.0951465199769,11.0870215479154,11.0812138637475,11.0581620559703,11.0821611539545,11.0459660606672,10.9903245787392,10.9120589631673,10.793837926255,10.6602051469973,8.63486910796432,mendota
1995-01-07,10.534316664038,10.5531525449426,10.5595181283727,10.5737236144761,10.5966751884131,10.5815265496356,10.5816762695651,10.5412019803609,10.4776284059626,10.382341094738,10.2302145533479,10.0551223137103,7.01093794584367,mendota
1995-01-08,9.78240868264452,9.80192537956944,9.80839550131351,9.81380532965941,9.84506064575255,9.82904887747349,9.80217571949815,9.74193799135301,9.6418894082371,9.49064101171409,9.27573772050648,9.00646051385046,3.57289669223394,mendota
1995-01-09,8.93547345707182,8.95406132667484,8.94612659720962,8.91605251321624,8.92879330559279,8.90143461669482,8.83175994247257,8.71069077090309,8.54362809766492,8.32262058762667,8.01155045953685,7.63353650095963,0.202087638878922,mendota
1995-01-10,8.31420578487212,8.3327923804929,8.31450123991628,8.25868238338175,8.21406890969363,8.148160008394,8.03987637832492,7.85233129483611,7.60559495017155,7.28600889577917,6.84366043117384,6.29712010884372,0.103459572773008,mendota
1995-01-11,7.91979027522967,7.93911398749638,7.91255249161663,7.84485850576564,7.75676843178116,7.62609511477545,7.4477136833974,7.19390698513947,6.84249706349731,6.37750923287493,5.74892289327237,4.90706022641442,0.06631293552843,mendota
1995-01-12,7.45055186893449,7.46980687586542,7.43044545615759,7.33904350239702,7.19664203771473,6.98736366055927,6.7118554172453,6.34381999276207,5.82458731653147,5.12673689958685,4.07189172774201,2.4732626694644,0.0335842411405224,mendota
1995-01-13,6.94780418759921,6.9665095248296,6.90557365900504,6.772673046587,6.54937017679744,6.23239318951615,5.84362810751545,5.30592891684926,4.49326693949268,3.16097295616509,1.65655700066835,0.603387062158345,0.0303998163652217,mendota
1995-01-14,6.46390151115279,6.48191358266265,6.39358074240742,6.20656206336424,5.89205229958669,5.4336435405861,4.86493495041694,4.04587140855241,2.46830926658622,1.07773132075581,0.652859021698556,0.349969052433041,0.028121474548083,mendota
1995-01-15,6.0989013087809,6.11676654963638,5.99894203008524,5.75639334869755,5.35311468350094,4.7254848716332,3.88463603795569,2.3583316573276,0.902333362766593,0.715415612648748,0.436583546482314,0.200362945593635,0.03122619716214,mendota
1995-01-16,5.57864211140208,5.59519739353558,5.44152018721008,5.11828182266384,4.5595752541768,3.69656635898234,2.23351466069123,0.86194224554309,0.694633975710444,0.503087792621269,0.205370359050474,0.111029164106041,0.0181024292955827,mendota
1995-01-17,5.0915741630507,5.1069220546789,4.90579777342146,4.4777327541983,3.66350415271655,2.25186451593028,0.939595111874797,0.785431866600305,0.656969577144556,0.459935448145907,0.192453799782719,0.113893109930592,0.0318544396219883,mendota
1995-01-18,4.672390300018,4.6867648828259,4.43980703246891,3.89254664033417,2.72146451030806,1.11056635556878,0.855254016109743,0.717628421795497,0.591856537233452,0.342946333073833,0.165893920563714,0.109648464702305,0.0324655923603885,mendota
1995-01-19,4.22400876349631,4.23701010212231,3.93457320053559,3.20527104928471,1.52754429575256,0.974009767989545,0.762403413740312,0.651608540027008,0.540154805988488,0.359123008029014,0.183973423223268,0.131228605922708,0.0363927485922862,mendota
1995-01-20,4.08229824188235,4.0959042819909,3.73979030802645,2.84097210385501,1.42862716544202,1.08675522827596,0.819566787152809,0.69038552713625,0.573778341300385,0.391688747957003,0.192087327444281,0.138847110919977,0.0524719368593109,mendota
