datetime,ln_null_GOTM,ln_01_GOTM,ln_05_GOTM,ln_1_GOTM,ln_15_GOTM,ln_2_GOTM,ln_25_GOTM,ln_3_GOTM,ln_35_GOTM,ln_4_GOTM,ln_45_GOTM,ln_5_GOTM,ln_10_GOTM,id
1995-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-02-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
