datetime,dens_null_GLM,dens_01_GLM,dens_05_GLM,dens_1_GLM,dens_15_GLM,dens_2_GLM,dens_25_GLM,dens_3_GLM,dens_35_GLM,dens_4_GLM,dens_45_GLM,dens_5_GLM,dens_10_GLM,id
1995-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-01-02,0.036376953125,0.036376953125,0.036376953125,0.036376953125,0.036376953125,0.036376953125,0.036376953125,0.036376953125,0.036376953125,0.036376953125,0.036376953125,0.036376953125,0.036376953125,mendota
1995-01-03,0.0244140625,0.02435302734375,0.0245361328125,0.02459716796875,0.02459716796875,0.024658203125,0.024658203125,0.024658203125,0.024658203125,0.02471923828125,0.02471923828125,0.02471923828125,0.02484130859375,mendota
1995-01-04,0.014404296875,0.0142822265625,0.0146484375,0.01470947265625,0.01470947265625,0.01470947265625,0.01470947265625,0.01470947265625,0.01470947265625,0.01470947265625,0.01470947265625,0.01470947265625,0.01470947265625,mendota
1995-01-05,0.0040283203125,0.0037841796875,0.005126953125,0.005126953125,0.005126953125,0.005126953125,0.00506591796875,0.00506591796875,0.00506591796875,0.00506591796875,0.00506591796875,0.00506591796875,0.00506591796875,mendota
1995-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,mendota
1995-01-07,0,0,6.103515625e-05,6.103515625e-05,0,0,0,0,0,0.00238037109375,0.01898193359375,0.0374755859375,0.2916259765625,mendota
1995-01-08,0,0,0,0,0,0.01446533203125,0.0367431640625,0.06280517578125,0.09197998046875,0.123779296875,0.15789794921875,0.19415283203125,0.6356201171875,mendota
1995-01-09,0,0,0,0.00665283203125,0.03717041015625,0.07135009765625,0.11102294921875,0.15478515625,0.20355224609375,0.253173828125,0.30535888671875,0.37969970703125,1.15838623046875,mendota
1995-01-10,0,0,0,0.01568603515625,0.07586669921875,0.12738037109375,0.19378662109375,0.2935791015625,0.39801025390625,0.5050048828125,0.59564208984375,0.6566162109375,1.22662353515625,mendota
1995-01-11,0,0,0.00128173828125,0.062255859375,0.12750244140625,0.24725341796875,0.35931396484375,0.429443359375,0.49761962890625,0.56427001953125,0.6295166015625,0.693603515625,1.31201171875,mendota
1995-01-12,0,0,0.01739501953125,0.08221435546875,0.19122314453125,0.30413818359375,0.3800048828125,0.4552001953125,0.52978515625,0.59954833984375,0.67120361328125,0.741943359375,1.32794189453125,mendota
1995-01-13,0,0,0.0330810546875,0.13653564453125,0.238525390625,0.32403564453125,0.40625,0.48321533203125,0.54901123046875,0.61993408203125,0.68536376953125,0.7501220703125,1.34661865234375,mendota
1995-01-14,0,0,0.04888916015625,0.160400390625,0.25262451171875,0.3389892578125,0.41436767578125,0.486572265625,0.5582275390625,0.62689208984375,0.69415283203125,0.75994873046875,1.372802734375,mendota
1995-01-15,0,0,0.06475830078125,0.171142578125,0.262451171875,0.34326171875,0.42132568359375,0.49627685546875,0.567138671875,0.6378173828125,0.70703125,0.77349853515625,1.39459228515625,mendota
1995-01-16,0,0,0.072265625,0.17724609375,0.26580810546875,0.34844970703125,0.4281005859375,0.50408935546875,0.576416015625,0.6468505859375,0.71563720703125,0.785888671875,1.3984375,mendota
1995-01-17,0,0,0.07843017578125,0.17999267578125,0.27008056640625,0.3548583984375,0.4351806640625,0.50811767578125,0.58123779296875,0.65228271484375,0.721435546875,0.788330078125,1.41033935546875,mendota
1995-01-18,0,0,0.0821533203125,0.18310546875,0.27496337890625,0.3583984375,0.43609619140625,0.51190185546875,0.584716796875,0.65576171875,0.72576904296875,0.7945556640625,1.43017578125,mendota
1995-01-19,0,0,0.083251953125,0.18621826171875,0.276611328125,0.35894775390625,0.43878173828125,0.51519775390625,0.58941650390625,0.66192626953125,0.73297119140625,0.8023681640625,1.43780517578125,mendota
1995-01-20,0,0,0.08599853515625,0.18853759765625,0.27911376953125,0.3624267578125,0.44287109375,0.52032470703125,0.59503173828125,0.6673583984375,0.7379150390625,0.80712890625,1.4417724609375,mendota
1995-01-21,0,0,0.0885009765625,0.19000244140625,0.28082275390625,0.36553955078125,0.4453125,0.5223388671875,0.59674072265625,0.66888427734375,0.73919677734375,0.80810546875,1.45318603515625,mendota
1995-01-22,0,0,0.09039306640625,0.19134521484375,0.2821044921875,0.36651611328125,0.44635009765625,0.52423095703125,0.5987548828125,0.672607421875,0.74481201171875,0.8153076171875,1.46612548828125,mendota
1995-01-23,0,0,0.0909423828125,0.192138671875,0.2828369140625,0.36761474609375,0.44915771484375,0.527587890625,0.60333251953125,0.67755126953125,0.75006103515625,0.82275390625,1.49188232421875,mendota
1995-01-24,0,0,0.09130859375,0.19244384765625,0.28411865234375,0.36993408203125,0.45257568359375,0.53228759765625,0.609130859375,0.68438720703125,0.7615966796875,0.8299560546875,1.4952392578125,mendota
1995-01-25,0,0,0.08966064453125,0.19140625,0.2838134765625,0.37127685546875,0.4552001953125,0.535888671875,0.6141357421875,0.68896484375,0.76202392578125,0.83367919921875,1.49578857421875,mendota
1995-01-26,0,0,0.08892822265625,0.19158935546875,0.2860107421875,0.37432861328125,0.45703125,0.5364990234375,0.6134033203125,0.68829345703125,0.76190185546875,0.833740234375,1.49493408203125,mendota
1995-01-27,0,0,0.087158203125,0.19189453125,0.28582763671875,0.37261962890625,0.45538330078125,0.53497314453125,0.6123046875,0.68719482421875,0.76031494140625,0.83197021484375,1.52252197265625,mendota
1995-01-28,0,0,0.087890625,0.1929931640625,0.28619384765625,0.373046875,0.45587158203125,0.535400390625,0.61578369140625,0.69482421875,0.7725830078125,0.84918212890625,1.5413818359375,mendota
