datetime,ssi_null_Simstrat,ssi_01_Simstrat,ssi_05_Simstrat,ssi_1_Simstrat,ssi_15_Simstrat,ssi_2_Simstrat,ssi_25_Simstrat,ssi_3_Simstrat,ssi_35_Simstrat,ssi_4_Simstrat,ssi_45_Simstrat,ssi_5_Simstrat,ssi_10_Simstrat,id
1995-01-01,10.1100840107454,10.1100840107454,10.1100840107454,10.1100840107454,10.1100840107454,10.1100840107454,10.1100840107454,10.1100840107454,10.1100840107454,10.1100840107454,10.1100840107454,10.1100840107454,10.1100840107454,mendota
1995-01-02,11.7669619233038,11.7284809578219,11.5716548037441,11.5463032519296,11.5299524447565,11.5211277628747,11.5167135964235,11.5083686920405,11.5037664381616,11.4968820199899,11.4943292798462,11.4898632823101,11.4561275550825,mendota
1995-01-03,10.9739760323261,10.9104138045001,10.6696006412392,10.5850648796198,10.5471537585704,10.5216582253047,10.5031785345196,10.4853961659504,10.4715341342502,10.4551357924046,10.4420982240709,10.4290947124825,10.343851316664,mendota
1995-01-04,10.1576394198213,10.0974933661415,9.76663056279292,9.62291988653309,9.60758587695938,9.56799405294653,9.56324180350569,9.56849527525547,9.55914477857458,9.58036102341842,9.56257287645406,9.54463772654888,9.45314236620574,mendota
1995-01-05,9.94581916250113,9.86665837808518,9.35825398005681,9.1690945176028,9.1232521894069,9.05793569647211,9.02820779102714,9.02086448196343,9.07572509149142,9.18995928756271,9.14527606836053,9.13262702922047,8.88644312882395,mendota
1995-01-06,8.8618012019259,9.31129580167198,8.70288737259316,8.51145046061452,8.55887523805404,8.31799362459154,8.07871984192741,8.5142785925452,7.90594117442311,8.50926093598281,8.43465084011011,8.31120788154206,7.8307682186213,mendota
1995-01-07,9.14874709806695,8.79615496281123,8.40359322767202,8.23376090187649,8.03772778654034,7.63970928254796,7.73427747856975,7.72383262134839,7.2108105726422,8.19063621573593,8.32954491088933,8.12384505134355,7.16018526599379,mendota
1995-01-08,8.35269892665463,9.20015275246214,8.04858677157556,6.79471543465038,7.30130217712378,6.89480919161082,6.31383266708285,8.01740608369441,6.44477955406177,7.40587319798822,6.89783150148175,6.6035637396283,6.52730035171575,mendota
1995-01-09,8.13694480062523,8.46374961837731,6.59098642826311,8.11578940051218,6.70083753695905,6.14082627759361,7.4027874729272,7.49049858917793,6.40958298843614,6.96987477571127,6.81957876045731,6.31731291904347,5.74617043386647,mendota
1995-01-10,7.34227465825208,8.3692450410251,7.40402522705184,7.03439336904702,5.52903364840108,5.80024877866134,6.81418210064701,6.65140515858781,5.37092542719018,6.72409284957088,5.59110158216678,5.48565403342207,5.46146135526888,mendota
1995-01-11,8.01571058356319,8.46511575985862,6.67408554202121,6.45114002092163,5.65666485467941,5.06872691687794,5.87919254751121,6.73971783291236,5.62606408838308,5.72456220377101,5.24273458366625,4.94122844950587,4.67910718816571,mendota
1995-01-12,7.05662967589736,8.34168930733243,6.95245747116445,5.87335890860416,5.68220219055541,4.4070213090332,5.94831067871231,6.15159662274973,5.45634785894295,6.11199496257704,4.53422226931759,4.21188191076521,4.58659315558429,mendota
1995-01-13,6.90892293239074,7.8657868063502,6.14955987829223,5.63133168721882,4.84582224149498,3.88669040899883,5.52775236094789,5.9212009433667,4.7704932586626,6.61970902813308,4.13131045480429,3.69476977650608,4.07851271425323,mendota
1995-01-14,6.6919550755905,8.00397867593746,5.62401825578896,5.11619439807396,4.46492215055229,3.49967872207824,5.25868200972195,5.10183857192453,4.33025523259786,5.72847450178088,3.41650211605891,3.80477357767594,3.41687282503238,mendota
1995-01-15,6.67424527070608,7.84179481690336,5.49121417790034,4.82857884018752,4.1829155394092,3.30629336862942,4.93422560893078,5.04424887369388,4.02757964158501,5.35320492561223,3.40651902621639,3.54087362331924,3.18649878057715,mendota
1995-01-16,6.5943661022862,7.5602951587047,5.13990325871837,4.54157576324884,4.31673168801632,3.02985980123134,4.80953593033404,4.59414427267022,4.00888212390673,4.86027340553587,3.39795495940363,3.10936383130354,2.9688160563126,mendota
1995-01-17,6.47382151445371,7.36039798120942,4.84944392670963,4.20494795894297,3.83653545543769,2.74199125985533,4.51132430797553,4.36844547356251,3.64276046081152,4.5135585030123,3.06848308277323,2.80614116418837,2.62401315650463,mendota
1995-01-18,6.3365844207566,7.19492471068083,4.41393511445594,3.8689905275325,4.45661464776354,2.41469882480628,4.11248282596469,4.1606109760639,3.52197695588864,4.12507616700264,2.73166581256028,2.43817610364221,2.40188187440886,mendota
1995-01-19,6.239394342765,6.93878540081332,4.01244387619698,3.15443137108903,4.29501097044993,2.2201489035064,3.49121976622794,3.94733170206932,2.90516667875491,3.33475889770873,2.00396367711614,1.83121880599197,1.54068657019024,mendota
1995-01-20,5.8407726318245,6.71267525998005,3.87474530429347,2.98582432881322,3.95587588475758,2.27500674852821,3.16048747105202,3.40188487474405,2.4310620340464,2.86947713195073,2.01459329393227,1.73507602781181,1.32356357693289,mendota
1995-01-21,5.83793846574748,6.44095049327072,3.18290758716945,2.75622805484087,3.32571102369332,1.60847019507817,2.73189843688046,3.42794345238771,2.20815542106706,2.80245178208974,1.53664912040258,1.29581966899422,0.817184063213827,mendota
1995-01-22,5.87459767526808,6.41830282458944,3.63852001246872,2.30483466744501,2.95091640560016,1.35669041185208,2.34177424236705,2.95659132237224,1.84871944009178,2.31730791242322,1.27163906725563,1.10040621548028,0.772968322837892,mendota
1995-01-23,5.61528210323063,6.30828915390554,3.21650843147284,2.24001511674608,2.62857432722425,1.29090204714469,2.09892732335438,2.62281801384302,1.63466145433342,2.10780518727499,1.16906470799534,0.848968280105728,0.624717677096728,mendota
1995-01-24,5.44936785525882,6.26700118439294,2.86330644998936,2.34735093918864,2.27758215211641,0.856177310719831,1.77421668024134,2.2669393049019,1.30233724266023,1.83152373904487,0.856290164452737,0.980663768668306,0.202762990198607,mendota
1995-01-25,5.37214448896177,6.4762131315664,2.68321397339404,1.3548725468628,2.12229563715064,0.865958167040787,1.05326034546825,1.40069971220726,0.979595224514732,0.969462066543864,0.111668051135037,0.155379786307282,0.0812157555220623,mendota
1995-01-26,4.9156370194371,5.69733591857733,1.78076503774146,1.85083869977409,1.94613745769169,0.596924578164731,1.83210216446751,1.85947027751661,0.316948796025776,0.900895249201918,-0.425220094371125,-0.205497266573107,-0.573068812455634,mendota
1995-01-27,4.98120741895432,6.3604552562039,1.91328636500635,1.36057258472032,1.22212226008006,-0.114241649842497,0.943375259470231,2.39852869334798,-0.506753613416798,0.931225799551528,-0.853229559549901,-0.372187304604442,-0.484061523977444,mendota
1995-01-28,5.49558465121489,6.07565939949315,1.66974690964917,0.669336819273049,0.538257184796731,-0.0498508609878097,0.354790024432406,1.35796322593087,0.233326528997431,0.12599871128851,-1.03385222027153,-0.623399329544782,-1.18829415608704,mendota
