datetime,ssi_null_GLM,ssi_01_GLM,ssi_05_GLM,ssi_1_GLM,ssi_15_GLM,ssi_2_GLM,ssi_25_GLM,ssi_3_GLM,ssi_35_GLM,ssi_4_GLM,ssi_45_GLM,ssi_5_GLM,ssi_10_GLM,id
1995-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mendota
1995-01-02,5.74605623493797,5.74605623493797,5.74605623493797,5.74605623493797,5.74605623493797,5.74605623493797,5.74605623493797,5.74605623493797,5.74605623493797,5.74605623493797,5.74605623493797,5.74605623493797,5.74605623493797,mendota
1995-01-03,3.0750532662608,2.96146860425574,2.89513812070876,2.88861962418323,2.84441644261378,2.84160314730021,2.84089843887355,2.84055734062367,2.8401881864015,2.83993817404067,2.83939776988543,2.83866500628248,2.86224219130498,mendota
1995-01-04,1.46309783957723,1.46362688164138,1.17109257775825,1.14683794969905,1.116108850592,1.1144188612868,1.11005049083712,1.10220590271727,1.09650197779432,1.09244501902307,1.08992932777126,1.08871809768551,1.0793428520463,mendota
1995-01-05,0.388707523934228,0.385452464205173,-0.128947135055617,-0.138884151249334,-0.180326324214065,-0.177005316623247,-0.181024202513337,-0.192489128952037,-0.196238234941497,-0.205504023311868,-0.220252766774002,-0.234140528805986,-0.283166524702953,mendota
1995-01-06,0.0855483487811238,0.0855761839667387,-0.674989238856766,-0.729160719809744,-0.744628312548183,-0.756157385852525,-0.789897372511666,-0.786779668484174,-0.840144707712018,-0.857715282774589,-0.871189688574627,-0.882386291816213,-0.924633945315765,mendota
1995-01-07,0.247497550203503,0.149952176094017,-0.818135176073793,-0.827167026527276,-0.877931044101525,-0.904629457766006,-0.927276104386244,-0.927511496411211,-0.91612487608195,-0.909691421397497,-0.911381489238557,-0.911853795909309,-0.999506651945175,mendota
1995-01-08,0.0426346779807621,0.0428326460234523,-1.03592853612325,-1.15130412013247,-1.07810477797014,-1.06902688004896,-1.10191194156837,-1.14184410094875,-1.17484036950631,-1.20599868707012,-1.23551052666835,-1.25483171451758,-1.20735734559865,mendota
1995-01-09,0.0167077605033937,0.0167746879872084,-1.24724884958751,-1.36839774100633,-1.45690245766047,-1.52767352352563,-1.50241230950982,-1.48541506638608,-1.48401195681389,-1.47306941852398,-1.47702994362086,-1.50174609170764,-1.62998365591615,mendota
1995-01-10,0.00604461563701448,0.00606702951700292,-1.56348844793585,-1.55557998170434,-1.63268408098914,-1.61370323317026,-1.63204175913087,-1.692400909887,-1.74155754936262,-1.75567561226571,-1.77584812217805,-1.76275048173917,-1.80271784248441,mendota
1995-01-11,0.591897297528104,0.558632053404079,-1.04497471806288,-0.924620159211287,-1.62710653508419,-1.73604258467197,-1.7617493623786,-1.73863966405687,-1.72083664492601,-1.70557738901377,-1.70063375510284,-1.7166842614227,-1.95629546998505,mendota
1995-01-12,0.443987426679738,0.491334307739575,-1.31603012255262,-1.16472172656969,-1.66987564001657,-1.72814474290276,-1.69856113044549,-1.68767325922149,-1.70723937582618,-1.74401158724009,-1.77444381776888,-1.92879575941629,-1.75995282409375,mendota
1995-01-13,0.710466151548663,0.757690698966538,-1.12803369645097,-1.10487619348664,-1.37160129098587,-1.34374292829531,-1.373276800787,-1.51165414584444,-1.52257870802122,-1.55855024809152,-1.54890553811888,-1.5553368383738,-1.56872970896917,mendota
1995-01-14,1.82072897660008,1.86170888882562,-0.122708612220668,-0.0373777809951071,-0.258664363712929,-0.414873882275877,-0.436757780625106,-0.456043009549688,-0.430626337659423,-0.477988272563292,-0.464352390541038,-0.485078072776377,-0.486603702351684,mendota
1995-01-15,1.75605015608487,1.56455801623537,-0.553162679851743,-0.154597848896584,-0.655219528331861,-0.691882683478486,-0.732396379271681,-0.717235736593092,-0.742057832542737,-0.79104400679489,-0.812756619031843,-0.804744234088861,-0.805087482155107,mendota
1995-01-16,0.00413590841890338,0.00398306327899726,-2.20422899212394,-2.15357096473015,-2.46579835937618,-2.45236664364804,-2.4863883122452,-2.51861167297986,-2.53493011748654,-2.53220319492967,-2.53218317244384,-2.52658920858246,-2.62134885387827,mendota
1995-01-17,0.00381500937422426,0.418456507192645,-2.31726430119051,-2.57549434334986,-2.59477912631615,-2.63683794703584,-2.65343312692693,-2.66711974439567,-2.63322864599962,-2.65021384898769,-2.64719264603569,-2.62742650174121,-2.80058043479635,mendota
1995-01-18,0.284041779182098,0.596772258965929,-2.15392154247579,-2.39101832118059,-2.51696686442347,-2.55101433308044,-2.5383896926062,-2.52098472148588,-2.45171792313871,-2.53182842911193,-2.55142930437039,-2.57227734016651,-2.5653630298964,mendota
1995-01-19,0.00321644692601688,0.0937518150156508,-2.74420093454611,-2.88328565206663,-2.94002559517874,-2.95225388592558,-2.92099394728661,-2.90594065104581,-2.93369405420471,-2.96252042649454,-2.98647300076516,-2.99816492892046,-3.08640149873981,mendota
1995-01-20,1.17351779748034,1.71612519423893,-1.7462243270754,-1.67745640183894,-1.71299805284068,-1.65259928194909,-1.65846625241441,-1.69667191402355,-1.6981553872354,-1.80319822772995,-1.81351741363081,-1.79266082659992,-1.83962172739898,mendota
1995-01-21,1.32362093968774,1.46701438066625,-1.69834574441568,-1.69417529685782,-1.7013071952407,-1.71267217094799,-1.75110325993312,-1.79276983934272,-1.75536148342687,-1.82800844013861,-1.81207852929452,-1.79204467889896,-1.77977426689239,mendota
