datetime,ssi_null,ssi_01,ssi_05,ssi_1,ssi_15,ssi_2,ssi_25,ssi_3,ssi_35,ssi_4,ssi_45,ssi_5,ssi_10,id
1995-01-01,10.0669636070642,10.0669636070642,10.0669636070642,10.0669636070642,10.0669636070642,10.0669636070642,10.0669636070642,10.0669636070642,10.0669636070642,10.0669636070642,10.0669636070642,10.0669636070642,10.0669636070642,mendota
1995-01-02,10.8625324402769,10.840903055732,10.7779103001942,10.755978749293,10.7386454974984,10.7237013491667,10.7084664418371,10.6927108222227,10.6774131704102,10.6593952535892,10.6440341707886,10.6256934244699,10.472824489576,mendota
1995-01-03,10.0553676066836,9.97983392548399,9.84915457881098,9.784445276571,9.7287500952937,9.6927064038601,9.78409027143555,9.74747214379707,9.71079304495539,9.666182324933,9.62410776415922,9.57665003364647,9.32798662294693,mendota
1995-01-04,8.35759388353492,8.33858405078376,8.112082029885,8.03509989990618,8.00538495323657,7.97565328817441,7.99331245003725,7.96525188762594,7.93092004840072,7.90070489334217,7.8566709952652,7.81067981050238,7.43611255712172,mendota
1995-01-05,7.48763193134213,7.46469422802152,7.11278924238706,7.03228284320977,6.9948687672221,6.96560864582102,6.97167902006086,6.94945490868784,6.94440866876547,6.9515138282677,6.89332483980109,6.8399726461959,6.26101326372906,mendota
1995-01-06,6.67714534714019,6.83209782466719,6.37434821790444,6.28977042957338,6.29848692975111,6.20666609823644,6.1236612077901,6.25782166157607,6.0187070151501,6.18786820545851,6.11909969259683,6.02967557890773,5.18033446042328,mendota
1995-01-07,6.64352043743614,6.4997532279493,6.04832539332366,5.99343916327511,5.91882397695065,5.77220212480586,5.79622588124952,5.77917436843269,5.59077136750761,5.88776196302548,5.88279265833289,5.75570452304818,4.39053885329743,mendota
1995-01-08,6.0592474290933,6.34830359268501,5.60701791225527,5.15240554805911,5.35608601496873,5.21827706301178,5.00469881500421,5.53916665803289,4.97060953093085,5.23017184087739,4.97935289843996,4.78506417965373,2.96427989945035,mendota
1995-01-09,5.69637533940015,5.81152854434645,4.76328805862841,5.22114805757403,4.72424279496379,4.50486245692093,4.91071170196332,4.90525809789832,4.48973304309572,4.60647531493799,4.45136642545777,4.14970110943182,1.43942480560975,mendota
1995-01-10,5.22084168625374,5.569368150345,4.71834600634409,4.57916525690814,4.03680615903519,4.11156851796169,4.40733890661369,4.27044518117898,3.74498760933304,4.08480871102812,3.55297129705419,3.34000788684221,1.25406769518583,mendota
1995-01-11,5.50913271877365,5.65428726691969,4.51388777185832,4.45712612249199,3.92877558379213,3.65292648232714,3.85505228951,4.06499505133166,3.58257483565146,3.46549801587739,3.09700790727859,2.71053480483253,0.92970821790303,mendota
1995-01-12,4.98372299050386,5.43427683031247,4.35562426825647,4.01589356147716,3.73632286275119,3.22208007556323,3.65386832183737,3.60258111876344,3.19123193321608,3.16490675830794,2.2772233930969,1.58544960693777,0.953408190877021,mendota
1995-01-13,4.85573109051287,5.19666234338211,3.97569994694877,3.76637618010639,3.34119704243552,2.92511355673989,3.33270122255878,3.23849190479051,2.58039383004469,2.74071057873555,1.41298730578459,0.914273333430208,0.846727607216427,mendota
1995-01-14,4.99219518778113,5.44920038247524,3.9649634619919,3.76179289348103,3.36610336214202,2.83948279346282,3.22895305983793,2.89722232364242,2.12264605384155,2.10940584999113,1.20166958240548,1.22322151911087,0.98613019907626,mendota
1995-01-15,4.84306557852395,5.17437312759171,3.64566450937795,3.47679144666283,2.96027023152609,2.44663185226138,2.69548842253826,2.22844826480946,1.39595172393629,1.75919217715536,1.01011531788895,0.978830778274671,0.804212498528061,mendota
1995-01-16,4.0590480407024,4.38649187183976,2.79239815126817,2.50209554039418,2.13683619427231,1.42468650552188,1.51888742626002,0.979158281744482,0.722861994043545,0.943719334409156,0.357047382003421,0.231267928942372,0.12185654390997,mendota
1995-01-17,3.85640356229288,4.29525884769366,2.47932579964686,2.03572878993047,1.63508682727936,0.785672609583255,0.932495430974468,0.828919198589049,0.555500463985484,0.774426700723507,0.20458141217342,0.0975359241259191,-0.0482376128899104,mendota
1995-01-18,3.7643388333189,4.15948728415755,2.23327353481635,1.79017294889536,1.55370409788271,0.324750282431539,0.809782383156079,0.785751558791171,0.554038523327793,0.645398023654846,0.115376809584533,-0.00815092394066554,-0.0436718543757174,mendota
1995-01-19,3.48887318439577,3.75651577265043,1.73427204739549,1.1588055894357,0.960843223674585,0.0806349285234551,0.444209744227215,0.56433319701684,0.170542476846228,0.243787159747732,-0.266178633475253,-0.34523917233526,-0.503107393319097,mendota
1995-01-20,3.69886289039573,4.17490157873663,1.95610376174818,1.38311334360977,1.22383499911964,0.569720898285029,0.773862668596805,0.798532829285584,0.435561662703797,0.485989217392596,0.131054402581913,0.0270874373772883,-0.154528737868925,mendota
1995-01-21,3.71265005631716,3.96622563801411,1.69255592032514,1.23239631702383,1.03026380927981,0.275873306399491,0.56081493620034,0.73725645774885,0.28985263402,0.381536673295842,-0.0578165704410509,-0.141243814722742,-0.31135034974443,mendota
1995-01-22,3.673612795787,3.86215550928982,1.73142076993626,0.981670327168611,0.793543057980724,0.0915513334033895,0.303480558750651,0.479318980839029,0.0589299845779573,0.133403683450279,-0.242315161524748,-0.310542467326719,-0.382315399432251,mendota
1995-01-23,3.62327608246237,3.84928275277244,1.58421996480223,0.961647610788092,0.735541502159358,0.00141277169655466,0.197365566567465,0.319464763163473,-0.101917553545031,0.00357638937189695,-0.334092035944828,-0.452010197672434,-0.462014204467596,mendota
